Position,Track Name,Artist,Streams,Week,Month,Year,Artist Followers,Artist Genre,Artist Popularity,Track Popularity,Track Duration (ms),Album Name,Album Total Tracks,Album Released Date,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
1,Good Days,SZA,6323585,1,January,2021,953031,pop,90,100,242013,drivers license,1,2021-01-08,0.721,0.585,0.436,1.31e-05,10,0.105,-8.761,1,0.0601,143.874,4,0.132
2,Anyone,Justin Bieber,6149984,1,January,2021,29035650,canadian contemporary r&b,98,94,215626,After Hours,14,2020-03-20,0.0212,0.68,0.826,1.24e-05,0,0.543,-5.487,1,0.0309,118.051,4,0.644
3,34+35,Ariana Grande,5606876,1,January,2021,4598099,pop,89,92,279204,Good Days,1,2020-12-25,0.499,0.436,0.655,8.1e-06,1,0.688,-8.37,0,0.0583,121.002,4,0.412
4,Mood (feat. iann dior),24kGoldn,5583614,1,January,2021,29035650,canadian contemporary r&b,98,95,200040,After Hours,14,2020-03-20,0.00146,0.514,0.73,9.54e-05,1,0.0897,-5.934,1,0.0598,171.005,4,0.334
5,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,5368252,1,January,2021,14529278,dance pop,90,85,156944,Up,1,2021-02-05,0.0012,0.868,0.795,0.0193,11,0.0461,-6.044,1,0.269,166.0,4,0.819
6,DÁKITI,Bad Bunny,5161927,1,January,2021,5345421,dance pop,91,91,226986,Hot Pink,12,2019-11-07,0.208,0.749,0.463,0.0371,11,0.337,-8.433,1,0.0828,90.028,4,0.19
7,positions,Ariana Grande,5102841,1,January,2021,58120695,dance pop,97,93,172324,Positions,14,2020-10-30,0.468,0.737,0.802,0.0,0,0.0931,-4.771,1,0.0878,144.015,4,0.682
8,Whoopty,CJ,4877062,1,January,2021,783236,cali rap,88,94,140525,Mood (feat. iann dior),1,2020-07-24,0.221,0.7,0.722,0.0,7,0.272,-3.558,0,0.0369,90.989,4,0.756
9,WITHOUT YOU,The Kid LAROI,4777818,1,January,2021,22852186,dance pop,95,89,203064,Levitating (feat. DaBaby),1,2020-10-01,0.00883,0.702,0.825,0.0,6,0.0674,-3.787,0,0.0601,102.977,4,0.915
10,Blinding Lights,The Weeknd,4440447,1,January,2021,30141465,latin,100,93,205090,DÁKITI,1,2020-10-30,0.401,0.731,0.573,5.22e-05,4,0.113,-10.059,0,0.0544,109.928,4,0.145
11,Levitating (feat. DaBaby),Dua Lipa,4422483,1,January,2021,58120695,dance pop,97,92,173710,Positions,14,2020-10-30,0.237,0.83,0.585,0.0,0,0.248,-6.476,1,0.094,109.978,4,0.485
12,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,4156151,1,January,2021,1350194,australian hip hop,92,93,161384,F*CK LOVE (SAVAGE),22,2020-11-06,0.213,0.662,0.413,0.0,0,0.134,-7.357,1,0.0299,93.005,4,0.467
13,WAP (feat. Megan Thee Stallion),Cardi B,4075050,1,January,2021,227549,pop rap,85,86,195428,B4 The Storm,17,2020-08-28,0.25,0.8,0.658,0.0,1,0.111,-6.142,0,0.079,140.042,4,0.462
14,willow,Taylor Swift,4063837,1,January,2021,944391,cali rap,82,86,155883,Best Friend (feat. Doja Cat),1,2021-01-07,0.00302,0.84,0.766,3.61e-06,4,0.0684,-4.12,1,0.136,94.018,4,0.402
15,What You Know Bout Love,Pop Smoke,3951385,1,January,2021,1434127,contemporary country,92,82,178520,Dangerous: The Double Album,30,2021-01-08,0.373,0.505,0.657,0.00107,11,0.126,-5.24,0,0.0318,196.0,3,0.252
16,Therefore I Am,Billie Eilish,3894603,1,January,2021,58120695,dance pop,97,93,172324,Positions,14,2020-10-30,0.468,0.737,0.802,0.0,0,0.0931,-4.771,1,0.0878,144.015,4,0.682
17,Body,Megan Thee Stallion,3880068,1,January,2021,1434127,contemporary country,92,80,202133,Dangerous: The Double Album,30,2021-01-08,0.59,0.403,0.537,0.0,3,0.112,-6.628,1,0.031,69.877,4,0.414
18,Laugh Now Cry Later (feat. Lil Durk),Drake,3868635,1,January,2021,4114880,brooklyn drill,94,89,190476,Shoot For The Stars Aim For The Moon,19,2020-07-03,0.114,0.823,0.586,0.0,6,0.193,-6.606,0,0.2,125.971,4,0.347
