,Position,Track Name,Artist,Streams,Week,Month,Year
0,1,The Box,Roddy Ricch,18952305,1,January,2020
1,2,ROXANNE,Arizona Zervas,9671478,1,January,2020
2,3,Yummy,Justin Bieber,9648561,1,January,2020
3,4,Circles,Post Malone,8244725,1,January,2020
4,5,BOP,DaBaby,7985170,1,January,2020
5,6,Falling,Trevor Daniel,7503297,1,January,2020
6,7,Dance Monkey,Tones And I,6986158,1,January,2020
7,8,Bandit (with YoungBoy Never Broke Again),Juice WRLD,6938158,1,January,2020
8,9,Futsal Shuffle 2020,Lil Uzi Vert,6802710,1,January,2020
9,10,everything i wanted,Billie Eilish,6181388,1,January,2020
10,11,Ballin' (with Roddy Ricch),Mustard,6166618,1,January,2020
11,12,Blinding Lights,The Weeknd,6093807,1,January,2020
12,13,Adore You,Harry Styles,5918797,1,January,2020
13,14,Suicidal,YNW Melly,5880355,1,January,2020
14,15,My Oh My (feat. DaBaby),Camila Cabello,5680153,1,January,2020
15,16,Don't Start Now,Dua Lipa,5216621,1,January,2020
16,17,No Idea,Don Toliver,4922350,1,January,2020
17,18,hot girl bummer,blackbear,4897726,1,January,2020
18,19,VIBEZ,DaBaby,4809631,1,January,2020
19,20,Watermelon Sugar,Harry Styles,4793358,1,January,2020
20,21,Heartless,The Weeknd,4784585,1,January,2020
21,22,OUT WEST (feat. Young Thug),JACKBOYS,4750318,1,January,2020
22,23,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4700611,1,January,2020
23,24,HIGHEST IN THE ROOM,Travis Scott,4640947,1,January,2020
24,25,Someone You Loved,Lewis Capaldi,4604720,1,January,2020
25,26,Woah,Lil Baby,4528520,1,January,2020
26,27,Memories,Maroon 5,4510361,1,January,2020
27,28,Lose You To Love Me,Selena Gomez,4291918,1,January,2020
28,29,SUGAR,BROCKHAMPTON,4290774,1,January,2020
29,30,Lucid Dreams,Juice WRLD,4068069,1,January,2020
30,31,Suge,DaBaby,4012729,1,January,2020
31,32,Say So,Doja Cat,3895584,1,January,2020
32,33,Robbery,Juice WRLD,3857669,1,January,2020
33,34,bad guy,Billie Eilish,3830917,1,January,2020
34,35,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,3735347,1,January,2020
35,36,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,3695717,1,January,2020
36,37,Ransom,Lil Tecca,3657828,1,January,2020
37,38,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,3492249,1,January,2020
38,39,Truth Hurts,Lizzo,3433280,1,January,2020
39,40,223's (feat. 9lokknine),YNW Melly,3424197,1,January,2020
40,41,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,3421786,1,January,2020
41,42,Falling,Harry Styles,3415708,1,January,2020
42,43,"10,000 Hours (with Justin Bieber)",Dan + Shay,3355067,1,January,2020
43,44,Stuck In A Dream (feat. Gunna),Lil Mosey,3316362,1,January,2020
44,45,Money In The Grave (Drake ft. Rick Ross),Drake,3314636,1,January,2020
45,46,Señorita,Shawn Mendes,3289924,1,January,2020
46,47,Goodbyes (Feat. Young Thug),Post Malone,3266958,1,January,2020
47,48,No Guidance (feat. Drake),Chris Brown,3216358,1,January,2020
48,49,Death,Trippie Redd,3176458,1,January,2020
49,50,Start Wit Me (feat. Gunna),Roddy Ricch,3156095,1,January,2020
50,51,MIDDLE CHILD,J. Cole,3031578,1,January,2020
51,52,Wow.,Post Malone,3020295,1,January,2020
52,53,Yellow Hearts,Ant Saunders,3019176,1,January,2020
