Position,Track Name,Artist,Streams,Week,Month,Year,Artist Followers,Artist Genre,Artist Popularity,Track Popularity,Track Duration (ms),Album Name,Album Total Tracks,Album Released Date,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
1,blun7 a swishland,tha Supreme,3084106,1,January,2020,1288668.0,italian hip hop,76.0,62.0,167760.0,23 6451,20.0,2019-11-15,0.13,0.692,0.792,0.0,7.0,0.255,-5.984,1.0,0.245,129.883,4.0,0.566
2,fuck 3x,tha Supreme,1957574,1,January,2020,1288668.0,italian hip hop,76.0,62.0,161266.0,23 6451,20.0,2019-11-15,0.0698,0.655,0.814,0.0,5.0,0.107,-5.472,0.0,0.0823,180.082,4.0,0.69
3,Dance Monkey,Tones And I,1943487,1,January,2020,2618163.0,australian pop,83.0,87.0,209438.0,Dance Monkey (Stripped Back) / Dance Monkey,2.0,2019-10-17,0.692,0.824,0.588,0.000104,6.0,0.149,-6.4,0.0,0.0924,98.027,4.0,0.513
4,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,1605060,1,January,2020,961813.0,italian hip hop,72.0,66.0,208133.0,Libertà,16.0,2019-08-30,0.0104,0.754,0.725,0.0,8.0,0.192,-6.058,1.0,0.0661,120.002,4.0,0.271
5,SUPREME - Lego (feat. tha Supreme & Sfera Ebbasta),Marracash,1602522,1,January,2020,1282911.0,italian hip hop,74.0,62.0,223045.0,Persona,17.0,2020-03-27,0.0686,0.656,0.661,0.0,9.0,0.125,-5.888,1.0,0.0602,140.956,4.0,0.509
6,RITMO (Bad Boys For Life),Black Eyed Peas,1397402,1,January,2020,5356655.0,dance pop,87.0,79.0,221714.0,RITMO (Bad Boys For Life),1.0,2019-10-12,0.0334,0.721,0.716,0.00084,10.0,0.237,-7.037,0.0,0.0657,104.994,4.0,0.667
7,CRUDELIA - I nervi,Marracash,1392284,1,January,2020,1282911.0,italian hip hop,74.0,65.0,230922.0,Persona,17.0,2020-03-27,0.149,0.547,0.554,0.0,7.0,0.344,-7.563,1.0,0.102,82.178,3.0,0.0702
8,ANSIA NO,FSK SATELLITE,1348330,1,January,2020,227394.0,italian hip hop,65.0,61.0,148500.0,FSK TRAPSHIT REVENGE,18.0,2019-12-05,0.153,0.823,0.678,0.0,1.0,0.218,-6.664,1.0,0.56,160.133,4.0,0.706
9,Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,1303421,1,January,2020,2522291.0,basshall,81.0,60.0,188400.0,Pookie (feat. Capo Plaza) [Remix],1.0,2019-08-30,0.0584,0.84,0.62,0.0,1.0,0.0988,-6.91,1.0,0.129,98.076,4.0,0.511
10,Soldi in Nero - feat. Sfera Ebbasta,Shiva,1300312,1,January,2020,533319.0,italian hip hop,67.0,57.0,183797.0,Soldi in Nero (feat. Sfera Ebbasta),1.0,2019-11-28,0.149,0.748,0.662,0.0,6.0,0.17,-4.832,0.0,0.285,157.918,4.0,0.346
11,Tutto Questo Sei Tu,Ultimo,1258096,1,January,2020,2251859.0,italian adult pop,71.0,62.0,245053.0,Tutto Questo Sei Tu,1.0,2019-12-13,0.444,0.45,0.514,0.0,2.0,0.112,-5.571,1.0,0.0277,161.973,3.0,0.421
