Position,Track Name,Artist,Streams,Week,Month,Year,Artist Followers,Artist Genre,Artist Popularity,Track Popularity,Track Duration (ms),Album Name,Album Total Tracks,Album Released Date,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
1,XO,Yasin,1161953,1,January,2020,108669.0,swedish gangsta rap,72.0,57.0,172173.0,XO,1.0,2019-12-16,0.371,0.718,0.527,0.0,8.0,0.14,-10.187,1.0,0.436,92.276,4.0,0.297
2,Dance Monkey,Tones And I,1117862,1,January,2020,2618163.0,australian pop,83.0,87.0,209438.0,Dance Monkey (Stripped Back) / Dance Monkey,2.0,2019-10-17,0.692,0.824,0.588,0.000104,6.0,0.149,-6.4,0.0,0.0924,98.027,4.0,0.513
3,Lev nu dö sen,Miss Li,1081328,1,January,2020,135639.0,classic swedish pop,70.0,62.0,182708.0,Lev nu dö sen,1.0,2019-10-19,0.0401,0.445,0.643,0.0,11.0,0.0818,-7.473,0.0,0.121,88.204,4.0,0.513
4,Blinding Lights,The Weeknd,955867,1,January,2020,29076261.0,canadian contemporary r&b,98.0,95.0,200040.0,After Hours,14.0,2020-03-20,0.00146,0.514,0.73,9.54e-05,1.0,0.0897,-5.934,1.0,0.0598,171.005,4.0,0.334
5,PT:1,Yasin,939491,1,January,2020,108669.0,swedish gangsta rap,72.0,53.0,165600.0,Handen Under Mona Lisas Kjol (PT:1),6.0,2019-12-25,0.158,0.905,0.583,1.35e-05,2.0,0.0859,-8.694,1.0,0.171,100.036,4.0,0.42
6,PIPPI,Dree Low,722586,1,January,2020,120451.0,swedish gangsta rap,69.0,63.0,164575.0,FLAWLESS,13.0,2019-09-01,0.429,0.885,0.57,0.0,8.0,0.111,-8.172,0.0,0.222,105.036,4.0,0.86
7,FÖRSENT,1.Cuz,660801,1,January,2020,65014.0,swedish gangsta rap,60.0,54.0,182400.0,1 ÅR,8.0,2019-11-29,0.18,0.937,0.707,0.000376,10.0,0.186,-5.153,0.0,0.146,100.031,4.0,0.766
8,Not For Sale,Yasin,612151,1,January,2020,108669.0,swedish gangsta rap,72.0,47.0,127031.0,Handen Under Mona Lisas Kjol (PT:1),6.0,2019-12-25,0.0503,0.95,0.477,4.55e-05,1.0,0.0875,-9.295,1.0,0.0529,128.0,4.0,0.328
9,Someone You Loved,Lewis Capaldi,608705,1,January,2020,6984857.0,pop,87.0,89.0,182160.0,Divinely Uninspired To A Hellish Extent,12.0,2019-05-17,0.751,0.501,0.405,0.0,1.0,0.105,-5.679,1.0,0.0319,109.891,4.0,0.446
10,DSGIS,Yasin,599387,1,January,2020,108669.0,swedish gangsta rap,72.0,51.0,144671.0,DSGIS,1.0,2019-12-03,0.00594,0.759,0.625,0.0953,0.0,0.14,-6.897,1.0,0.165,76.043,4.0,0.228
11,ROXANNE,Arizona Zervas,595563,1,January,2020,574284.0,pop rap,77.0,84.0,163636.0,ROXANNE,1.0,2019-10-10,0.0522,0.621,0.601,0.0,6.0,0.46,-5.616,0.0,0.148,116.735,5.0,0.457
12,TESLA,Macky,595210,1,January,2020,34785.0,swedish gangsta rap,56.0,58.0,147710.0,TESLA,1.0,2019-11-15,0.376,0.786,0.691,0.0,11.0,0.105,-6.96,0.0,0.185,129.768,4.0,0.307
13,Memories,Maroon 5,582311,1,January,2020,29446381.0,pop,90.0,86.0,189486.0,Memories,1.0,2019-09-20,0.837,0.764,0.32,0.0,11.0,0.0822,-7.209,1.0,0.0546,91.019,4.0,0.575
14,everything i wanted,Billie Eilish,560255,1,January,2020,39685416.0,electropop,94.0,84.0,245425.0,everything i wanted,1.0,2019-11-13,0.902,0.704,0.225,0.657,6.0,0.106,-14.454,0.0,0.0994,120.006,4.0,0.243
15,Falling,Trevor Daniel,543863,1,January,2020,567449.0,alternative r&b,79.0,83.0,159381.0,Falling,1.0,2018-10-05,0.123,0.785,0.431,0.0,10.0,0.0887,-8.756,0.0,0.0364,127.085,4.0,0.236
16,Circles,Post Malone,538030,1,January,2020,31243997.0,dfw rap,94.0,87.0,215280.0,Hollywood's Bleeding,17.0,2019-09-06,0.192,0.695,0.762,0.00244,0.0,0.0863,-3.497,1.0,0.0395,120.042,4.0,0.553
17,Tills mitt hjärta går under,Myra Granberg,521091,1,January,2020,7583.0,swedish idol pop,60.0,60.0,228433.0,Tills mitt hjärta går under,1.0,2019-11-21,0.345,0.412,0.664,3.59e-06,5.0,0.105,-6.832,0.0,0.171,74.098,1.0,0.783
18,No Cap,Adel,520520,1,January,2020,58139.0,swedish gangsta rap,61.0,55.0,170400.0,No Cap,1.0,2019-11-28,0.306,0.796,0.564,0.0,8.0,0.096,-9.776,0.0,0.148,99.997,4.0,0.849
19,bad guy,Billie Eilish,517588,1,January,2020,39685416.0,electropop,94.0,86.0,194087.0,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14.0,2019-03-29,0.328,0.701,0.425,0.13,7.0,0.1,-10.965,1.0,0.375,135.128,4.0,0.562
20,Va Mig,Ant Wan,471835,1,January,2020,70395.0,swedish gangsta rap,64.0,53.0,165600.0,Kapitel 21,6.0,2019-11-21,0.209,0.601,0.69,0.00101,6.0,0.127,-6.226,0.0,0.0918,198.128,4.0,0.287
