,Position,Track Name,Artist,Streams,Week,Month,Year
0,1,blun7 a swishland,tha Supreme,3084106,1,January,2020
1,2,fuck 3x,tha Supreme,1957574,1,January,2020
2,3,Dance Monkey,Tones And I,1943487,1,January,2020
3,4,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,1605060,1,January,2020
4,5,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,1602522,1,January,2020
5,6,RITMO (Bad Boys For Life),Black Eyed Peas,1397402,1,January,2020
6,7,CRUDELIA - I nervi,Marracash,1392284,1,January,2020
7,8,ANSIA NO,FSK SATELLITE,1348330,1,January,2020
8,9,Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,1303421,1,January,2020
9,10,Soldi in Nero - feat. Sfera Ebbasta,Shiva,1300312,1,January,2020
10,11,Tutto Questo Sei Tu,Ultimo,1258096,1,January,2020
11,12,"CHARLES MANSON (BUON NATALE2) (feat. Lazza) - feat. Dani Faiv, Nitro",Salmo,1152169,1,January,2020
12,13,BRAVI A CADERE - I polmoni,Marracash,1112836,1,January,2020
13,14,Chiasso,Random,1096273,1,January,2020
14,15,Holly & Benji (feat. Capo Plaza & Shiva),AVA,1085398,1,January,2020
15,16,Falling,Trevor Daniel,1072189,1,January,2020
16,17,Memories,Maroon 5,1025915,1,January,2020
17,18,Barrio,Mahmood,1001191,1,January,2020
18,19,sw1n6o - feat. Salmo,tha Supreme,999979,1,January,2020
19,20,Cin Cin,Alfa,995675,1,January,2020
20,21,m12ano - feat. Mara Sattei,tha Supreme,992320,1,January,2020
21,22,Una volta ancora (feat. Ana Mena),Fred De Palma,961816,1,January,2020
22,23,Bossoli,Shiva,945800,1,January,2020
23,24,ROXANNE,Arizona Zervas,938368,1,January,2020
24,25,Non Avere Paura,Tommaso Paradiso,937926,1,January,2020
25,26,Ayy Macarena,Tyga,887061,1,January,2020
26,27,Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,879614,1,January,2020
27,28,Don't Start Now,Dua Lipa,874600,1,January,2020
28,29,occh1 purpl3 - feat. Marracash,tha Supreme,834600,1,January,2020
29,30,Twerk (con Boro Boro),MamboLosco,827035,1,January,2020
30,31,Piccola Stella,Ultimo,822385,1,January,2020
31,32,Lento,Boro Boro,776741,1,January,2020
32,33,m8nstar,tha Supreme,774528,1,January,2020
33,34,Il tuo profumo,Fred De Palma,772644,1,January,2020
34,35,GANG (feat. Geolier),Samurai Jay,760223,1,January,2020
35,36,MADAME - L'anima (feat. Madame),Marracash,728111,1,January,2020
36,37,ENFASI,Sierra,714503,1,January,2020
37,38,ch1 5ei te,tha Supreme,713822,1,January,2020
38,39,La tua canzone,Coez,698020,1,January,2020
39,40,Mon Fre - feat. Emis Killa,Shiva,692494,1,January,2020
40,41,scuol4,tha Supreme,682636,1,January,2020
41,42,SCACCIACANI,Ketama126,673823,1,January,2020
42,43,Rossetto,Random,671157,1,January,2020
43,44,Dove e quando,Benji & Fede,668771,1,January,2020
44,45,no14 - feat. Dani Faiv,tha Supreme,662788,1,January,2020
45,46,Circles,Post Malone,651895,1,January,2020
