,Position,Track Name,Artist,Streams,Week,Month,Year
0,1,The Box,Roddy Ricch,15981992,1,January,2020
1,2,After Hours,The Weeknd,10284660,1,January,2020
2,3,Intentions (feat. Quavo),Justin Bieber,8800978,1,January,2020
3,4,Blinding Lights,The Weeknd,8700003,1,January,2020
4,5,Life Is Good (feat. Drake),Future,8568557,1,January,2020
5,6,Blueberry Faygo,Lil Mosey,8111330,1,January,2020
6,7,ROXANNE,Arizona Zervas,7283056,1,January,2020
7,8,High Fashion (feat. Mustard),Roddy Ricch,6824444,1,January,2020
8,9,Don't Start Now,Dua Lipa,6515970,1,January,2020
9,10,Circles,Post Malone,6275245,1,January,2020
10,11,Falling,Trevor Daniel,6214855,1,January,2020
11,12,Say So,Doja Cat,6040728,1,January,2020
12,13,Dance Monkey,Tones And I,5759272,1,January,2020
13,14,WHATS POPPIN,Jack Harlow,5740264,1,January,2020
14,15,No Time To Die,Billie Eilish,5614403,1,January,2020
15,16,Godzilla (feat. Juice WRLD),Eminem,5552658,1,January,2020
16,17,everything i wanted,Billie Eilish,5545262,1,January,2020
17,18,BOP,DaBaby,5423041,1,January,2020
18,19,Suicidal,YNW Melly,5327432,1,January,2020
19,20,Adore You,Harry Styles,5136668,1,January,2020
20,21,Ballin' (with Roddy Ricch),Mustard,5084084,1,January,2020
21,22,Forever (feat. Post Malone & Clever),Justin Bieber,4887760,1,January,2020
22,23,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie Wit da Hoodie,4730571,1,January,2020
23,24,"Sunday Best (Feeling Good, Like I Should)",Surfaces,4371743,1,January,2020
24,25,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,4335706,1,January,2020
25,26,Bandit (with YoungBoy Never Broke Again),Juice WRLD,4238666,1,January,2020
26,27,OUT WEST (feat. Young Thug),JACKBOYS,4228799,1,January,2020
27,28,Woah,Lil Baby,4215744,1,January,2020
28,29,You should be sad,Halsey,4134200,1,January,2020
29,30,Moral of the Story,Ashe,4129688,1,January,2020
30,31,ON,BTS,4106614,1,January,2020
31,32,Yummy,Justin Bieber,4083442,1,January,2020
32,33,Someone You Loved,Lewis Capaldi,4082096,1,January,2020
33,34,My Oh My (feat. DaBaby),Camila Cabello,4063097,1,January,2020
34,35,SUGAR,BROCKHAMPTON,4056221,1,January,2020
35,36,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4025977,1,January,2020
36,37,hot girl bummer,blackbear,3928349,1,January,2020
37,38,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),Polo G,3890025,1,January,2020
38,39,ON (Feat. Sia),BTS,3825710,1,January,2020
39,40,death bed (coffee for your head),Powfu,3797417,1,January,2020
40,41,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future,3604284,1,January,2020
41,42,To Die For,Sam Smith,3598773,1,January,2020
42,43,Feel Me,Selena Gomez,3581695,1,January,2020
43,44,HIGHEST IN THE ROOM,Travis Scott,3469621,1,January,2020
44,45,bad guy,Billie Eilish,3406669,1,January,2020
45,46,Lucid Dreams,Juice WRLD,3367484,1,January,2020
46,47,"10,000 Hours (with Justin Bieber)",Dan + Shay,3337749,1,January,2020
47,48,Heartless,The Weeknd,3333510,1,January,2020
48,49,Futsal Shuffle 2020,Lil Uzi Vert,3285836,1,January,2020
49,50,Robbery,Juice WRLD,3258879,1,January,2020
50,51,Tusa,KAROL G,3240736,1,January,2020
51,52,VIBEZ,DaBaby,3203155,1,January,2020
52,53,Ignorantes,Bad Bunny,3165234,1,January,2020
53,54,GOODMORNINGTOKYO!,TOKYO’S REVENGE,3152613,1,January,2020
54,55,Sum 2 Prove,Lil Baby,3148317,1,January,2020
55,56,Red Eye,YoungBoy Never Broke Again,3095714,1,January,2020
56,57,No Idea,Don Toliver,3053538,1,January,2020
57,58,Know Your Worth,Khalid,2963648,1,January,2020
58,59,CITY OF ANGELS,24kGoldn,2941875,1,January,2020
59,60,Suge,DaBaby,2928703,1,January,2020
60,61,Filter,BTS,2908987,1,January,2020
61,62,UGH!,BTS,2904858,1,January,2020
62,63,Memories,Maroon 5,2884845,1,January,2020
63,64,when the party's over,Billie Eilish,2843820,1,January,2020
64,65,My Time,BTS,2841202,1,January,2020
65,66,Money In The Grave (Drake ft. Rick Ross),Drake,2812877,1,January,2020
66,67,Dior,Pop Smoke,2771276,1,January,2020
67,68,Louder than bombs,BTS,2714038,1,January,2020
68,69,Black Swan,BTS,2707835,1,January,2020
69,70,ORANGE SODA,Baby Keem,2697353,1,January,2020
70,71,Make No Sense,YoungBoy Never Broke Again,2673958,1,January,2020
71,72,Goodbyes (Feat. Young Thug),Post Malone,2667063,1,January,2020
72,73,Before You Go,Lewis Capaldi,2664855,1,January,2020
73,74,MIDDLE CHILD,J. Cole,2657455,1,January,2020
74,75,If the World Was Ending - feat. Julia Michaels,JP Saxe,2652765,1,January,2020
75,76,What A Man Gotta Do,Jonas Brothers,2639624,1,January,2020
76,77,Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,2617579,1,January,2020
77,78,Wow.,Post Malone,2615121,1,January,2020
78,79,Ransom,Lil Tecca,2613658,1,January,2020
79,80,All Girls Are The Same,Juice WRLD,2593143,1,January,2020
80,81,Watermelon Sugar,Harry Styles,2578377,1,January,2020
81,82,lovely (with Khalid),Billie Eilish,2569988,1,January,2020
82,83,00:00 (Zero O’Clock),BTS,2541757,1,January,2020
83,84,Truth Hurts,Lizzo,2526406,1,January,2020
84,85,223's (feat. 9lokknine),YNW Melly,2453460,1,January,2020
85,86,Modern Loneliness,Lauv,2434577,1,January,2020
86,87,No Guidance (feat. Drake),Chris Brown,2386178,1,January,2020
87,88,SLOW DANCING IN THE DARK,Joji,2383833,1,January,2020
88,89,Trust,Brent Faiyaz,2378708,1,January,2020
89,90,EARFQUAKE,"Tyler, The Creator",2334769,1,January,2020
90,91,Knocked Off,YoungBoy Never Broke Again,2333031,1,January,2020
91,92,Old Me,5 Seconds of Summer,2308787,1,January,2020
92,93,Baby (Lil Baby feat. DaBaby),Quality Control,2304260,1,January,2020
93,94,We are Bulletproof : the Eternal,BTS,2291162,1,January,2020
94,95,Lose You To Love Me,Selena Gomez,2289261,1,January,2020
95,96,Going Bad (feat. Drake),Meek Mill,2287240,1,January,2020
96,97,July,Noah Cyrus,2286277,1,January,2020
97,98,Señorita,Shawn Mendes,2274846,1,January,2020
98,99,Lottery (Renegade),K CAMP,2273960,1,January,2020
99,100,Murder On My Mind,YNW Melly,2271463,1,January,2020
100,101,Friends,BTS,2270982,1,January,2020
101,102,Inner Child,BTS,2244386,1,January,2020
102,103,The Way,Trippie Redd,2234126,1,January,2020
103,104,Physical,Dua Lipa,2232033,1,January,2020
104,105,Jocelyn Flores,XXXTENTACION,2229536,1,January,2020
105,106,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,2227201,1,January,2020
106,107,Drip Too Hard (Lil Baby & Gunna),Lil Baby,2224939,1,January,2020
107,108,Stuck In A Dream (feat. Gunna),Lil Mosey,2219308,1,January,2020
108,109,What If I Told You That I Love You,Ali Gatie,2212900,1,January,2020
109,110,Pop Out (feat. Lil Tjay),Polo G,2192785,1,January,2020
110,111,SICKO MODE,Travis Scott,2180322,1,January,2020
111,112,Maniac,Conan Gray,2178108,1,January,2020
112,113,Camelot,NLE Choppa,2176735,1,January,2020
113,114,Good News,Mac Miller,2166380,1,January,2020
114,115,Start Wit Me (feat. Gunna),Roddy Ricch,2159821,1,January,2020
115,116,Moon,BTS,2130770,1,January,2020
116,117,Lil Top,YoungBoy Never Broke Again,2123538,1,January,2020
117,118,me & ur ghost,blackbear,2120339,1,January,2020
118,119,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,2105346,1,January,2020
