,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Lover,"Taylor Swift",12784772,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
2,Ransom,"Lil Tecca",10802374,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
3,"The Man","Taylor Swift",10650467,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70
4,"Cruel Summer","Taylor Swift",9660814,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
5,"I Forgot That You Existed","Taylor Swift",9130544,https://open.spotify.com/track/43rA71bccXFGD4C8GOpIlN
6,"Truth Hurts",Lizzo,8393043,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
7,Señorita,"Shawn Mendes",8045136,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
8,"You Need To Calm Down","Taylor Swift",7777600,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
9,"Paper Rings","Taylor Swift",7598423,https://open.spotify.com/track/4y5bvROuBDPr5fuwXbIBZR
10,"Goodbyes (Feat. Young Thug)","Post Malone",7497019,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
11,"I Think He Knows","Taylor Swift",7226323,https://open.spotify.com/track/2YWtcWi3a83pdEg3Gif4Pd
12,"Money In The Grave (Drake ft. Rick Ross)",Drake,7186958,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
13,"Miss Americana & The Heartbreak Prince","Taylor Swift",7118700,https://open.spotify.com/track/214nt20w5wOxJnY462klLw
14,"No Guidance (feat. Drake)","Chris Brown",6700587,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
15,"Cornelia Street","Taylor Swift",6637496,https://open.spotify.com/track/12M5uqx0ZuwkpLp5rJim1a
16,"London Boy","Taylor Swift",6527575,https://open.spotify.com/track/1LLXZFeAHK9R4xUramtUKw
17,"The Archer","Taylor Swift",6209644,https://open.spotify.com/track/3pHkh7d0lzM2AldUtz2x37
18,"Death By A Thousand Cuts","Taylor Swift",6171686,https://open.spotify.com/track/2dgFqt3w9xIQRjhPtwNk3D
19,"The London (feat. J. Cole & Travis Scott)","Young Thug",5775075,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
20,"bad guy","Billie Eilish",5672727,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
21,Panini,"Lil Nas X",5617966,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
22,"boyfriend (with Social House)","Ariana Grande",5556065,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
23,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",5466238,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
24,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",5423553,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
25,Afterglow,"Taylor Swift",5249624,https://open.spotify.com/track/1SymEzIT3H8UZfibCs3TYi
26,"False God","Taylor Swift",5237703,https://open.spotify.com/track/5hQSXkFgbxjZo9uCwd11so
27,Suge,DaBaby,5094298,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
28,"Someone You Loved","Lewis Capaldi",5090965,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
29,"Bad Bad Bad (feat. Lil Baby)","Young Thug",5006877,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
30,"Soon You’ll Get Better (feat. The Chicks)","Taylor Swift",5001769,https://open.spotify.com/track/4AYtqFyFbX0Xkc2wtcygTr
31,"Beautiful People (feat. Khalid)","Ed Sheeran",4840217,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
32,Lalala,Y2K,4784815,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
