,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Futsal Shuffle 2020","Lil Uzi Vert",13140009,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
2,ROXANNE,"Arizona Zervas",10042318,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,"Adore You","Harry Styles",9569406,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
4,Circles,"Post Malone",8596586,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
5,"Watermelon Sugar","Harry Styles",8252165,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
6,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",7876424,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
7,"The Box","Roddy Ricch",7752444,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
8,Falling,"Trevor Daniel",7605652,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
9,BOP,DaBaby,7233489,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
10,"All I Want for Christmas Is You","Mariah Carey",6957673,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
11,Falling,"Harry Styles",6857840,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
12,"HIGHEST IN THE ROOM","Travis Scott",6525744,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
13,"Lucid Dreams","Juice WRLD",6470080,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
14,"Lights Up","Harry Styles",6115277,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
15,"Dance Monkey","Tones And I",6082990,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
16,"everything i wanted","Billie Eilish",6023398,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
17,Heartless,"The Weeknd",5950072,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
18,"Blinding Lights","The Weeknd",5888519,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
19,"Rockin' Around The Christmas Tree","Brenda Lee",5701557,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
20,Cherry,"Harry Styles",5680339,https://open.spotify.com/track/2IOFZdYYkFxEHVz1w34PoL
21,Golden,"Harry Styles",5569379,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
22,"Jingle Bell Rock","Bobby Helms",5531497,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
23,Robbery,"Juice WRLD",5328163,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
24,"Someone You Loved","Lewis Capaldi",5163992,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
25,"My Oh My (feat. DaBaby)","Camila Cabello",5141987,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
26,"Santa Tell Me","Ariana Grande",5030284,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
27,"hot girl bummer",blackbear,4941680,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
28,She,"Harry Styles",4888497,https://open.spotify.com/track/6SQLk9HSNketfgs2AyIiMs
29,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",4879565,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
30,"It's the Most Wonderful Time of the Year","Andy Williams",4871249,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
31,"Last Christmas",Wham!,4843266,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
32,"To Be So Lonely","Harry Styles",4746288,https://open.spotify.com/track/5JiH89mHrv9oWHlD0T326z
33,"Ballin' (with Roddy Ricch)",Mustard,4669619,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
34,"Sunflower, Vol. 6","Harry Styles",4653600,https://open.spotify.com/track/6iYMfxznTBlcVOgRHab2W0
35,Memories,"Maroon 5",4364958,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
36,Legends,"Juice WRLD",4336789,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
37,"Let Me Know (I Wonder Why Freestyle)","Juice WRLD",4321276,https://open.spotify.com/track/3wwo0bJvDSorOpNfzEkfXx
38,"Don't Start Now","Dua Lipa",4307806,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
39,Woah,"Lil Baby",4303957,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
40,"No Idea","Don Toliver",4281051,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
41,"Lose You To Love Me","Selena Gomez",4280717,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
42,"The Christmas Song (Merry Christmas To You)","Nat King Cole",4272615,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
43,"A Holly Jolly Christmas - Single Version","Burl Ives",4159567,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe
44,"All Girls Are The Same","Juice WRLD",4128779,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
45,"It's Beginning to Look a Lot like Christmas","Michael Bublé",4120236,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
46,Mistletoe,"Justin Bieber",4046413,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
