,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",14731867,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
2,Wow.,"Post Malone",12219706,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
3,"Going Bad (feat. Drake)","Meek Mill",9585656,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
4,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",9127844,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
5,"Without Me",Halsey,8836191,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
6,"SICKO MODE","Travis Scott",8555892,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
7,"Lost in the Fire",Gesaffelstein,7736059,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG
8,"thank u, next","Ariana Grande",7724153,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
9,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",7671153,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
10,"Mo Bamba","Sheck Wes",7407324,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
11,"Look Back at It","A Boogie Wit da Hoodie",7213638,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
12,"Dancing With A Stranger (with Normani)","Sam Smith",7123194,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
13,"Leave Me Alone","Flipp Dinero",6450631,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
14,"Saturday Nights",Khalid,5901591,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
15,"a lot","21 Savage",5824988,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
16,"Wake Up in the Sky","Gucci Mane",5658478,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
17,"High Hopes","Panic! At The Disco",5657370,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
18,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",5109932,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
19,"Lucid Dreams","Juice WRLD",5073633,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
20,"Better Now","Post Malone",5065632,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
21,SAD!,XXXTENTACION,5055461,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
22,Happier,Marshmello,4935604,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
23,Money,"Cardi B",4877306,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
24,"whoa (mind in awe)",XXXTENTACION,4684242,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
25,"Eastside (with Halsey & Khalid)","benny blanco",4567413,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
26,Better,Khalid,4529391,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
27,monster,"21 Savage",4420565,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
28,"Armed And Dangerous","Juice WRLD",4377143,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
29,"when the party's over","Billie Eilish",4359623,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
30,Moonlight,XXXTENTACION,4277917,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
31,"MIA (feat. Drake)","Bad Bunny",4045995,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
32,YOSEMITE,"Travis Scott",3990538,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
33,Nonstop,Drake,3961214,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
34,"Taste (feat. Offset)",Tyga,3930328,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
35,Splashin,"Rich The Kid",3915820,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb
36,lovely,"Billie Eilish",3826980,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
37,"Space Cadet (feat. Gunna)","Metro Boomin",3730034,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
