,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",10388073,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
2,"Goodbyes (Feat. Young Thug)","Post Malone",9680155,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
3,"Truth Hurts",Lizzo,8936681,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
4,Ransom,"Lil Tecca",8862447,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
5,"Money In The Grave (Drake ft. Rick Ross)",Drake,8546369,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
6,Panini,"Lil Nas X",8506982,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
7,"Beautiful People (feat. Khalid)","Ed Sheeran",6850270,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
8,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",6824328,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
9,Suge,DaBaby,6286532,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
10,"How Do You Sleep?","Sam Smith",5864636,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
11,"bad guy","Billie Eilish",5606671,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
12,"The London (feat. J. Cole & Travis Scott)","Young Thug",5528552,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
13,"Antisocial (with Travis Scott)","Ed Sheeran",5473927,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
14,Lalala,Y2K,5455999,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
15,"One Thing Right",Marshmello,5191702,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
16,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",5004365,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
17,"I Don't Care (with Justin Bieber)","Ed Sheeran",4992296,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
18,"bad guy (with Justin Bieber)","Billie Eilish",4878780,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
19,"Pop Out (feat. Lil Tjay)","Polo G",4819432,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
20,"No Guidance (feat. Drake)","Chris Brown",4609142,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
21,Rodeo,"Lil Nas X",4538557,https://open.spotify.com/track/4ak7xjvBeBOcJGWFDX9w5n
22,"Talk (feat. Disclosure)",Khalid,4481526,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
23,Baby,"Quality Control",4334205,https://open.spotify.com/track/2nKYHpmwjLaEOXS3o7QMiz
24,"It's You","Ali Gatie",4290684,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
25,"Go Loko (feat. Tyga, Jon Z)",YG,4140446,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
26,"You Need To Calm Down","Taylor Swift",4017500,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
27,EARFQUAKE,"Tyler, The Creator",3974452,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
28,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",3944699,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
29,Wow.,"Post Malone",3857669,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
30,"MIDDLE CHILD","J. Cole",3847200,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
31,"Someone You Loved","Lewis Capaldi",3758596,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
32,"Good As Hell",Lizzo,3719223,https://open.spotify.com/track/6uAm7pG66O1XesXS9bpHSF
33,"If I Can't Have You","Shawn Mendes",3604505,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
34,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,3456111,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
35,"The Git Up","Blanco Brown",3455457,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
36,"MOOD 4 EVA (feat. Oumou Sangaré)",Beyoncé,3442744,https://open.spotify.com/track/7oqftogUN82Q7VNy2TmTJW
37,"Sanguine Paradise","Lil Uzi Vert",3403025,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
38,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",3340086,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
39,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",3258196,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
40,"Going Bad (feat. Drake)","Meek Mill",3218299,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
41,"Call You Mine","The Chainsmokers",3211468,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
42,Sucker,"Jonas Brothers",3207739,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
43,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",3165807,https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF
44,Callaita,"Bad Bunny",3151318,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
45,"The Archer","Taylor Swift",3149956,https://open.spotify.com/track/3Y7MHz19qCg1Pkxridtu1k
46,"Old Town Road - Remix","Lil Nas X",3134320,https://open.spotify.com/track/6jmZlyf9DxcIoRrjw02YXm
47,"when the party's over","Billie Eilish",3128532,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
48,"Pure Water (with Migos)",Mustard,3105862,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
49,"7 rings","Ariana Grande",3008584,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
50,"Tap (feat. Meek Mill)",NAV,2954314,https://open.spotify.com/track/5rU6kDNXZLXIinFezpbWbO
51,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",2918006,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
52,"Hate Me (with Juice WRLD)","Ellie Goulding",2895407,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
53,"I Think I'm OKAY (with YUNGBLUD & Travis Barker)","Machine Gun Kelly",2876846,https://open.spotify.com/track/2gTdDMpNxIRFSiu7HutMCg
54,I.F.L.Y.,Bazzi,2849148,https://open.spotify.com/track/4R9ATNRRl1uth17i5qDCc0
55,"Never Really Over","Katy Perry",2836869,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
56,"BROWN SKIN GIRL","Blue Ivy",2796220,https://open.spotify.com/track/0B3FovCVaGKS5w1FTidEUP
57,"On A Roll","Ashley O",2794433,https://open.spotify.com/track/56JyMaElW79S7TDWh1Zw1m
58,"lovely (with Khalid)","Billie Eilish",2782492,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
59,"Murder On My Mind","YNW Melly",2774527,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
60,"i love you","Billie Eilish",2759795,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
61,"Post Malone (feat. RANI)","Sam Feldt",2744304,https://open.spotify.com/track/0qc4QlcCxVTGyShurEv1UU
62,"Don't Check On Me (feat. Justin Bieber & Ink)","Chris Brown",2699265,https://open.spotify.com/track/7ILEWkpfdK6AjH2D7jppWk
