,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"bad guy","Billie Eilish",9412805,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
2,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",9266731,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
3,"The London (feat. J. Cole & Travis Scott)","Young Thug",9024672,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
4,EARFQUAKE,"Tyler, The Creator",8565532,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
5,Suge,DaBaby,7990575,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
6,"Truth Hurts",Lizzo,7896829,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
7,"I Don't Care (with Justin Bieber)","Ed Sheeran",7890922,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
8,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",7181059,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
9,"Pop Out (feat. Lil Tjay)","Polo G",6788920,https://open.spotify.com/track/5AjINjwKyRvQJhSe2zpPHi
10,"Never Really Over","Katy Perry",6106377,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
11,"If I Can't Have You","Shawn Mendes",5921845,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
12,"Talk (feat. Disclosure)",Khalid,5766724,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
13,"Mother's Daughter","Miley Cyrus",5536451,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
14,"MIDDLE CHILD","J. Cole",5491007,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
15,Press,"Cardi B",5438395,https://open.spotify.com/track/6dPyzkyZwoj9LqjQXOFdVv
16,"Old Town Road","Lil Nas X",5238638,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
17,Wow.,"Post Malone",5104794,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
18,"Go Loko (feat. Tyga, Jon Z)",YG,5079924,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
19,"Sanguine Paradise","Lil Uzi Vert",4798653,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
20,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",4788136,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
21,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",4561318,https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR
22,Sucker,"Jonas Brothers",4381364,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
23,"7 rings","Ariana Grande",4238290,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
24,Isis,"Joyner Lucas",4219877,https://open.spotify.com/track/36TO60sxDduIsO3xH8IcUh
25,"Pure Water (with Migos)",Mustard,4111083,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
26,Easier,"5 Seconds of Summer",4109512,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
27,"Going Bad (feat. Drake)","Meek Mill",4061296,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
28,"Call You Mine","The Chainsmokers",4031618,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
29,"when the party's over","Billie Eilish",4030620,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
30,"Envy Me",Calboy,3969271,https://open.spotify.com/track/7rvyVWja33WG9R97oeJAjx
31,"Murder On My Mind","YNW Melly",3920681,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
32,Paradise,Bazzi,3886775,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
33,Robbery,"Juice WRLD",3871551,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
34,"Someone You Loved","Lewis Capaldi",3786030,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
35,"Homicide (feat. Eminem)",Logic,3719619,https://open.spotify.com/track/2MuMD298IpYqKF367wegUd
36,"Find U Again (feat. Camila Cabello)","Mark Ronson",3685702,https://open.spotify.com/track/1HpzOCZbNWzxvvXfSGtSrX
37,"bury a friend","Billie Eilish",3678192,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
38,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",3671898,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM
39,Nightmare,Halsey,3526015,https://open.spotify.com/track/340UVheS8z3ncW9TTUhAbc
40,"Under Enemy Arms","Trippie Redd",3510540,https://open.spotify.com/track/1NF9EkR5OpMaoVWbsllcm9
41,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",3496680,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
42,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",3439553,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
43,Better,Khalid,3431543,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
44,"Eastside (with Halsey & Khalid)","benny blanco",3356697,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
45,"SICKO MODE","Travis Scott",3329718,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
46,"Shotta Flow","NLE Choppa",3326082,https://open.spotify.com/track/4dAMdQ6g4kGmnc1MDHsg77
47,"lovely (with Khalid)","Billie Eilish",3324991,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
48,"Lucid Dreams","Juice WRLD",3275890,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
49,"Mixed Personalities (feat. Kanye West)","YNW Melly",3258229,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
50,Happier,Marshmello,3223831,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
51,Callaita,"Bad Bunny",3166475,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
52,Ransom,"Lil Tecca",3157882,https://open.spotify.com/track/1xbtojAZsQjOgiGdGX6ChU
53,"wish you were gay","Billie Eilish",3152602,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
