,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Auto Blu,Shiva,3008885,https://open.spotify.com/track/2chEq24EHjyw9Zjmwq0hlS
2,Fiori di Chernobyl,Mr.Rain,1816325,https://open.spotify.com/track/54PxYcGpSUCmlpGdFGTaYR
3,Good Times,Ghali,1645175,https://open.spotify.com/track/6GpvHaqp0Yybx9P6YnodRD
4,Dilemme (with tha Supreme & Mara Sattei),Lous and The Yakuza,1618486,https://open.spotify.com/track/1Whf2ZaesM1gXlU0z3Fslt
5,Bando,ANNA,1484769,https://open.spotify.com/track/0kzGjSRHGVcaWxagzQwAyD
6,Roses - Imanbek Remix,SAINt JHN,1396210,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
7,Blinding Lights,The Weeknd,1319094,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
8,blun7 a swishland,tha Supreme,1234670,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
9,Per sentirmi vivo,Fasma,1233479,https://open.spotify.com/track/20v9X8TV0AgwNGFT71OX3w
10,Boogieman (feat. Salmo),Ghali,1229350,https://open.spotify.com/track/10Q5VqDAAbwExYkNha3VKH
11,Rapide,Mahmood,1175808,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
12,Ringo Starr,Pinguini Tattici Nucleari,1045461,https://open.spotify.com/track/5yfE6GXTuJaAlepKoE0wJE
13,Tusa,KAROL G,960527,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
14,Toosie Slide,Drake,952955,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
15,death bed (coffee for your head),Powfu,946480,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
16,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,942825,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
17,Dance Monkey,Tones And I,927630,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
18,Snitch E Impicci (con FSK SATELLITE),DrefGold,889261,https://open.spotify.com/track/6HDdOPc6FWpMfjC8ebzdRC
19,Musica (E Il Resto Scompare),Elettra Lamborghini,870385,https://open.spotify.com/track/3Nc7IorgrSffzaQrQWVw4L
20,Fai rumore,Diodato,838614,https://open.spotify.com/track/2ZwcnFDvQueNemTt89qCom
21,Chega,Gaia,796856,https://open.spotify.com/track/0XdjGLxXQhiPkOqXtAyEZ9
22,Falling,Trevor Daniel,790453,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
23,Viceversa,Francesco Gabbani,780656,https://open.spotify.com/track/04ldF8QeASSyJLMtZJJfqA
24,ANSIA NO,FSK SATELLITE,774585,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
25,Don't Start Now,Dua Lipa,768017,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
26,"SPORT + muscoli (RMX) (feat. Lazza, Paky, Luchè & Taxi B)",Marracash,762876,https://open.spotify.com/track/7srDOLMwjMC07Dzs7mqCnv
27,BRAVI A CADERE - I polmoni,Marracash,762199,https://open.spotify.com/track/3me7fQdjgO8NHscb3xPaBa
28,16 Marzo (feat. Gow Tribe),Achille Lauro,757238,https://open.spotify.com/track/3nwH3HTFzpnRV5SqM9um3r
29,fuck 3x,tha Supreme,738624,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
30,Before You Go,Lewis Capaldi,692870,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
31,Boss Bitch,Doja Cat,677670,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
32,Marymango (feat. tha Supreme),Ghali,671922,https://open.spotify.com/track/7eHHKYb2cRRqqzl8bbiwA3
33,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,660943,https://open.spotify.com/track/5EpBEqf5bnKeJ3p4zA1Sod
34,Una volta ancora (feat. Ana Mena),Fred De Palma,651490,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
35,Allora ciao,Shade,610934,https://open.spotify.com/track/5mtMuoCiBExgzH8SOdXyNB
