,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Toosie Slide",Drake,10460797,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,9768678,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Blueberry Faygo","Lil Mosey",9522253,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
4,"Blinding Lights","The Weeknd",9033938,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,"The Box","Roddy Ricch",8675712,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,"Roses - Imanbek Remix","SAINt JHN",6389361,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
7,"WHATS POPPIN","Jack Harlow",6300831,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
8,"@ MEH","Playboi Carti",6233724,https://open.spotify.com/track/5UusfWUMMLEXLMc1ViNZoe
9,"Say So","Doja Cat",5769078,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,"Don't Start Now","Dua Lipa",5536860,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
11,"FIND MY WAY",DaBaby,5523998,https://open.spotify.com/track/1gVCEnryJhkdQcuC0Kbvor
12,Savage,"Megan Thee Stallion",5458065,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
13,"death bed (coffee for your head)",Powfu,5364748,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
14,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",4847877,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
15,Circles,"Post Malone",4800879,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
16,"Sunday Best (Feeling Good, Like I Should)",Surfaces,4729533,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
17,"Intentions (feat. Quavo)","Justin Bieber",4663659,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
18,"Life Is Good (feat. Drake)",Future,4601108,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
19,"PICK UP (feat. Quavo)",DaBaby,4321627,https://open.spotify.com/track/5gNOINI5dXZVom2b36LMOd
20,Falling,"Trevor Daniel",4282915,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
21,"I’m Ready (with Demi Lovato)","Sam Smith",4252414,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY
22,ROXANNE,"Arizona Zervas",4229678,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
23,"High Fashion (feat. Mustard)","Roddy Ricch",4156745,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
24,"JUMP (feat. YoungBoy Never Broke Again)",DaBaby,4096538,https://open.spotify.com/track/0oT9ElXYSxvnOOagP9efDq
25,Supalonely,BENEE,4021705,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
26,"Adore You","Harry Styles",4006930,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
27,"Turks (feat. Travis Scott)",NAV,3984993,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
28,P2,"Lil Uzi Vert",3868652,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
29,"Gimme Love",Joji,3725843,https://open.spotify.com/track/2hfoyc7ve6xM4ZEiNIiU1B
30,Myron,"Lil Uzi Vert",3704674,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
31,"Dance Monkey","Tones And I",3679540,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
32,"Ballin' (with Roddy Ricch)",Mustard,3574629,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
33,PTSD,"G Herbo",3475726,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
34,"In Your Eyes","The Weeknd",3470780,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
35,"Godzilla (feat. Juice WRLD)",Eminem,3403214,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
36,"Someone You Loved","Lewis Capaldi",3318795,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
37,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3301747,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
38,"After Party","Don Toliver",3278620,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
39,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",3263329,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
40,"hot girl bummer",blackbear,3201128,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
41,"HIGHEST IN THE ROOM","Travis Scott",3181695,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
42,"BLAME IT ON BABY",DaBaby,3116742,https://open.spotify.com/track/0jWm0VyD8p3MrSInczpows
43,BOP,DaBaby,3111849,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
44,"Boss Bitch","Doja Cat",3092844,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
45,"That Way - Bonus Track","Lil Uzi Vert",3065329,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
46,"Lucid Dreams","Juice WRLD",3031129,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
47,"Break My Heart","Dua Lipa",2988019,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
48,"Broke In A Minute","Tory Lanez",2977339,https://open.spotify.com/track/4xqIYGwwZTEem9U8A42SPF
49,"LIGHTSKIN SH*T (feat. Future & jetsonmade)",DaBaby,2961772,https://open.spotify.com/track/16oi4OiKmkO51l60F5R9kR
50,"everything i wanted","Billie Eilish",2961020,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
51,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",2928580,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
52,"If the World Was Ending - feat. Julia Michaels","JP Saxe",2913814,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
53,"Level of Concern","Twenty One Pilots",2910660,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
54,"CAN'T STOP",DaBaby,2758451,https://open.spotify.com/track/57crda5Lx9OVaYCzb4Wrnd
55,"Yo Perreo Sola","Bad Bunny",2710102,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
56,"SICKO MODE","Travis Scott",2685233,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
57,"More Than My Hometown","Morgan Wallen",2627370,https://open.spotify.com/track/6FniJZn4agmDtPx1pKZQsa
58,Robbery,"Juice WRLD",2624474,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
59,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",2601106,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
60,"Heart On Ice","Rod Wave",2575635,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD
61,"CITY OF ANGELS",24kGoldn,2568166,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
62,"SAD SH*T",DaBaby,2563037,https://open.spotify.com/track/6ChpgWt7s2ksM1Y3l0D9sk
