,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,willow,Taylor Swift,13281290,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
2,champagne problems,Taylor Swift,11570396,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339
3,‘tis the damn season,Taylor Swift,10208226,https://open.spotify.com/track/4GBkffrtA51p17JH35irGA
4,gold rush,Taylor Swift,10193365,https://open.spotify.com/track/5BK0uqwY9DNfZ630STAEaq
5,"no body, no crime (feat. HAIM)",Taylor Swift,10072011,https://open.spotify.com/track/6NriykdkRrjQMZo1sfVYUo
6,tolerate it,Taylor Swift,9108436,https://open.spotify.com/track/0PurA4JVJ8YQgSVopY8fn6
7,Rockin' Around The Christmas Tree,Brenda Lee,8840460,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
8,happiness,Taylor Swift,8531241,https://open.spotify.com/track/73YUReisjb3A9ActdLLjJQ
9,All I Want for Christmas Is You,Mariah Carey,8470955,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
10,Tequila Shots,Kid Cudi,8310609,https://open.spotify.com/track/30KctD1WsHKTIYczXjip5a
11,Jingle Bell Rock,Bobby Helms,8090270,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
12,ivy,Taylor Swift,7859413,https://open.spotify.com/track/19CSr8rwW05VJL2F91KFNK
13,It's the Most Wonderful Time of the Year,Andy Williams,7715667,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
14,coney island (feat. The National),Taylor Swift,7510652,https://open.spotify.com/track/4tyX1rw9X309WkEdh2As4B
15,dorothea,Taylor Swift,7472301,https://open.spotify.com/track/3w9VRlKPvNxj40RdUGRweH
16,long story short,Taylor Swift,7267842,https://open.spotify.com/track/0vVMlbdYx2080Oa9FndPZr
17,Last Christmas,Wham!,7201836,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
18,Santa Tell Me,Ariana Grande,7125086,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
19,evermore (feat. Bon Iver),Taylor Swift,7116672,https://open.spotify.com/track/0AaV4MJrgmLV3XhoiWXjjb
20,cowboy like me,Taylor Swift,6846773,https://open.spotify.com/track/1XjHRolIXL2M1EEOUsGGR4
21,She Knows This,Kid Cudi,6707830,https://open.spotify.com/track/1xzUQMiCoY5pdego0pHMeV
22,marjorie,Taylor Swift,6557034,https://open.spotify.com/track/7vBNFh3NIZTj6tB5s1IBjE
23,It's Beginning to Look a Lot like Christmas,Michael Bublé,6468631,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
24,Show Out (with Skepta & Pop Smoke),Kid Cudi,6344050,https://open.spotify.com/track/5CFJRZRq6sdKKtRwNPWbYv
25,closure,Taylor Swift,6092417,https://open.spotify.com/track/3uayvzcbqFydIbgUeC6EJh
26,Another Day,Kid Cudi,5809168,https://open.spotify.com/track/6myUpr3GDR80Dg3zqNTmmG
