,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",17122376,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"Intentions (feat. Quavo)","Justin Bieber",10615362,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
3,"Life Is Good (feat. Drake)",Future,10109586,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
4,"No Time To Die","Billie Eilish",9765003,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
5,"Blinding Lights","The Weeknd",7739722,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
6,ROXANNE,"Arizona Zervas",7676669,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
7,"Forever (feat. Post Malone & Clever)","Justin Bieber",7631525,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
8,"Blueberry Faygo","Lil Mosey",7538983,https://open.spotify.com/track/6wJYhPfqk3KGhHRG76WzOh
9,"High Fashion (feat. Mustard)","Roddy Ricch",7116753,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
10,Falling,"Trevor Daniel",6715061,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,Circles,"Post Malone",6333860,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
12,"Don't Start Now","Dua Lipa",6325177,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
13,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",6310090,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
14,"everything i wanted","Billie Eilish",6175996,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
15,Yummy,"Justin Bieber",6142750,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
16,"Godzilla (feat. Juice WRLD)",Eminem,6067510,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
17,"Dance Monkey","Tones And I",6046594,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
18,BOP,DaBaby,5785018,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
19,Suicidal,"YNW Melly",5742690,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
20,"WHATS POPPIN","Jack Harlow",5274061,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
21,"Ballin' (with Roddy Ricch)",Mustard,5212777,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
22,"Say So","Doja Cat",5189246,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
23,"Adore You","Harry Styles",4842947,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
24,"To Die For","Sam Smith",4837891,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
25,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,4600714,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
26,"Give No Fxk",Migos,4572101,https://open.spotify.com/track/6ZelF5APDN5r6XnFqcnvWR
27,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",4416268,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
28,"You should be sad",Halsey,4386079,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
29,Woah,"Lil Baby",4221755,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
30,"My Oh My (feat. DaBaby)","Camila Cabello",4174346,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
31,"Someone You Loved","Lewis Capaldi",4162177,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
32,SUGAR,BROCKHAMPTON,4153769,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
33,"OUT WEST (feat. Young Thug)",JACKBOYS,4124332,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
34,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",4064833,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
35,"After Hours","The Weeknd",3868482,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
36,"hot girl bummer",blackbear,3846571,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
37,"Come Around Me","Justin Bieber",3738736,https://open.spotify.com/track/2o9LAypwGH4ctV0i9boo6d
38,"bad guy","Billie Eilish",3664282,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
