,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",12987027,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,Myron,"Lil Uzi Vert",9163134,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
3,"Blueberry Faygo","Lil Mosey",8043475,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
4,"Blinding Lights","The Weeknd",7744570,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
5,P2,"Lil Uzi Vert",7366169,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
6,"That Way - Bonus Track","Lil Uzi Vert",7137420,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
7,"Say So","Doja Cat",6743360,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
8,"Bean (Kobe) [feat. Chief Keef]","Lil Uzi Vert",6500099,https://open.spotify.com/track/0IpnZchq8ek2A6pGEP2Qb1
9,"WHATS POPPIN","Jack Harlow",6492241,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
10,"Baby Pluto","Lil Uzi Vert",6332498,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
11,"Intentions (feat. Quavo)","Justin Bieber",6176234,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
12,ROXANNE,"Arizona Zervas",6020793,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
13,"High Fashion (feat. Mustard)","Roddy Ricch",5896272,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
14,Yessirskiii,"Lil Uzi Vert",5873067,https://open.spotify.com/track/59JWp4PjZ9TRM8cmtaDYB1
15,"Godzilla (feat. Juice WRLD)",Eminem,5759567,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
16,"Don't Start Now","Dua Lipa",5731093,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
17,"Life Is Good (feat. Drake)",Future,5691143,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
18,Circles,"Post Malone",5503791,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
19,"Lo Mein","Lil Uzi Vert",5467659,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
20,Falling,"Trevor Daniel",5339974,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
21,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",5170189,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
22,"Sunday Best (Feeling Good, Like I Should)",Surfaces,4988328,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
23,"Silly Watch","Lil Uzi Vert",4774101,https://open.spotify.com/track/5egD7A5x9AHdVO2fMo3Wbo
24,Supalonely,BENEE,4754538,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
25,"death bed (coffee for your head)",Powfu,4707777,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
26,"Dance Monkey","Tones And I",4699703,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
27,"Adore You","Harry Styles",4625204,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
28,"Futsal Shuffle 2020 - Bonus Track","Lil Uzi Vert",4374550,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG
29,Lotus,"Lil Uzi Vert",4250998,https://open.spotify.com/track/4SnlSaLJJ7reJMCHM5YUuX
30,"Ballin' (with Roddy Ricch)",Mustard,4160182,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
31,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",4159363,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
32,"La Difícil","Bad Bunny",4027522,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
33,"Strawberry Peels (feat. Young Thug & Gunna)","Lil Uzi Vert",4007781,https://open.spotify.com/track/4lAQfuREAHG8IC0PiiigBt
34,"Moon Relate","Lil Uzi Vert",3881614,https://open.spotify.com/track/4sWGHlZGM1XA7TyWdtBAbA
35,"Wassup (feat. Future)","Lil Uzi Vert",3879025,https://open.spotify.com/track/19Ec2gbNtQTE44IizcPjtD
36,"Go Stupid (feat. NLE Choppa & Mike WiLL Made-It)","Polo G",3845425,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
37,BOP,DaBaby,3834629,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
38,Homecoming,"Lil Uzi Vert",3785981,https://open.spotify.com/track/6vxU64pcIuQ38O015Zy4qj
39,"Leaders (feat. NAV)","Lil Uzi Vert",3766743,https://open.spotify.com/track/4D7NrSeqkTarBrJ80b2sBc
40,"hot girl bummer",blackbear,3700960,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
41,"Trap This Way (This Way)","Lil Uzi Vert",3694895,https://open.spotify.com/track/7vTspUAmMKFkUpKL9HLZNL
42,"After Hours","The Weeknd",3672033,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
43,Cardigan,"Don Toliver",3671995,https://open.spotify.com/track/0Li1OuXXfi7950ilZUFGkF
44,Woah,"Lil Baby",3666787,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
45,"everything i wanted","Billie Eilish",3642827,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
46,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3634344,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
47,Suicidal,"YNW Melly",3629126,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
48,"Si Veo a Tu Mamá","Bad Bunny",3616760,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
49,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",3600180,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
50,"Someone You Loved","Lewis Capaldi",3586150,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
51,"I Can Show You","Lil Uzi Vert",3530421,https://open.spotify.com/track/0AhJag7VI8uFf3mJFsTwvf
52,"Got The Guap (feat. Young Thug)","Lil Uzi Vert",3518911,https://open.spotify.com/track/1HF6P40Z7nfExGaB1Gk99v
53,Prices,"Lil Uzi Vert",3514966,https://open.spotify.com/track/4YcWzLSnGqLjSCycuSMHnn
54,"CITY OF ANGELS",24kGoldn,3443366,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
