,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"THE SCOTTS","THE SCOTTS",12864147,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
2,"Toosie Slide",Drake,11648985,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
3,"Pain 1993 (with Playboi Carti)",Drake,10082722,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo
4,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,10028561,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
5,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",8965215,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
6,"Blueberry Faygo","Lil Mosey",8489106,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
7,"Blinding Lights","The Weeknd",8412384,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
8,"The Box","Roddy Ricch",7745369,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
9,Righteous,"Juice WRLD",7615715,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
10,"Chicago Freestyle (feat. Giveon)",Drake,7480929,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
11,"Roses - Imanbek Remix","SAINt JHN",6495557,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
12,"Say So","Doja Cat",6005074,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
13,"Be Kind (with Halsey)",Marshmello,5985143,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
14,"WHATS POPPIN","Jack Harlow",5947153,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
15,D4L,Future,5590704,https://open.spotify.com/track/5fHrHoJKfCgBd35zwIBmUK
16,"Demons (feat. Fivio Foreign & Sosa Geek)",Drake,5402886,https://open.spotify.com/track/05aZ9sAU1YXndHv0FMi9iW
17,"Time Flies",Drake,5258001,https://open.spotify.com/track/5H4mXWKcicuLKDn4Jy0sK7
18,"Desires (with Future)",Drake,5121049,https://open.spotify.com/track/7eYAHC0RbBF9eaqWzT34Aq
19,"death bed (coffee for your head)",Powfu,4888955,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
20,"Not You Too (feat. Chris Brown)",Drake,4826026,https://open.spotify.com/track/3Q4gttWQ6hxqWOa3tHoTNi
21,"Don't Start Now","Dua Lipa",4805920,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
22,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",4676683,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
23,Circles,"Post Malone",4674869,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
24,"Life Is Good (feat. Drake)",Future,4672027,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
25,"Sunday Best (Feeling Good, Like I Should)",Surfaces,4637028,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
26,Landed,Drake,4593211,https://open.spotify.com/track/3KixNgUEaDtrKJVzdqjU5q
27,"Intentions (feat. Quavo)","Justin Bieber",4583529,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
28,"Deep Pockets",Drake,4546356,https://open.spotify.com/track/3IvMYBE7A3c7to1aEcfFJk
29,"When To Say When",Drake,4510858,https://open.spotify.com/track/5TCBWmEBrin7etRa4Lswr1
30,goosebumps,"Travis Scott",4338751,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
31,"From Florida With Love",Drake,4166991,https://open.spotify.com/track/0YkUwXxnTkeJBvt5upeEtP
32,ROXANNE,"Arizona Zervas",4116557,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
33,"Say So (feat. Nicki Minaj)","Doja Cat",4068118,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
34,"HIGHEST IN THE ROOM","Travis Scott",4057375,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
35,Falling,"Trevor Daniel",4051087,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
36,Supalonely,BENEE,4031275,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
37,"Adore You","Harry Styles",3970235,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
38,"SICKO MODE","Travis Scott",3956372,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
39,"After Party","Don Toliver",3938792,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
40,Losses,Drake,3821667,https://open.spotify.com/track/6fLVTVaHWaEfVKfEgbkf4D
41,"High Fashion (feat. Mustard)","Roddy Ricch",3802990,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
42,War,Drake,3795496,https://open.spotify.com/track/1I55Ea0zVoSKs6MqW7DQ3i
43,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3521506,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
44,"Ballin' (with Roddy Ricch)",Mustard,3453347,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
45,Savage,"Megan Thee Stallion",3428954,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
46,P2,"Lil Uzi Vert",3393514,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
47,"Break My Heart","Dua Lipa",3372675,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
48,"Turks (feat. Travis Scott)",NAV,3324357,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
49,"Boss Bitch","Doja Cat",3294481,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
50,Myron,"Lil Uzi Vert",3288492,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
51,"hot girl bummer",blackbear,3202084,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
52,"Party Girl",StaySolidRocky,3167207,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
53,"Someone You Loved","Lewis Capaldi",3154290,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
54,"Lucid Dreams","Juice WRLD",3127729,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
55,"Play Date","Melanie Martinez",3124939,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
56,PTSD,"G Herbo",3102920,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
57,"Dance Monkey","Tones And I",3090314,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
58,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",3080055,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
59,"Godzilla (feat. Juice WRLD)",Eminem,3063272,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
60,"In Your Eyes","The Weeknd",3044290,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
61,"If the World Was Ending - feat. Julia Michaels","JP Saxe",2982149,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
62,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",2851257,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
63,BOP,DaBaby,2833919,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
64,"@ MEH","Playboi Carti",2815582,https://open.spotify.com/track/5UusfWUMMLEXLMc1ViNZoe
65,"Yo Perreo Sola","Bad Bunny",2790749,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
66,"Broke In A Minute","Tory Lanez",2740127,https://open.spotify.com/track/4xqIYGwwZTEem9U8A42SPF
67,"everything i wanted","Billie Eilish",2733209,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
68,"Six Feet Apart","Luke Combs",2713029,https://open.spotify.com/track/5v6gozUHFv9OoNdFYz6p8V
69,"FIND MY WAY",DaBaby,2693525,https://open.spotify.com/track/1gVCEnryJhkdQcuC0Kbvor
