,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,positions,"Ariana Grande",7848832,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
2,"Therefore I Am","Billie Eilish",7456330,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
3,DÁKITI,"Bad Bunny",7161480,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
4,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",6834782,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
5,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",6760911,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1
6,"Mood (feat. iann dior)",24kGoldn,6738630,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
7,34+35,"Ariana Grande",5835525,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
8,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",5598674,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
9,"WAP (feat. Megan Thee Stallion)","Cardi B",5513082,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
10,"Somebody’s Problem","Morgan Wallen",5470955,https://open.spotify.com/track/0SErdEdRcVX1uJCf1eTGYH
11,"All I Want for Christmas Is You","Mariah Carey",5176375,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
12,"Life Goes On",BTS,4975738,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
13,"What You Know Bout Love","Pop Smoke",4960938,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
14,pov,"Ariana Grande",4871981,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
15,"Laugh Now Cry Later (feat. Lil Durk)",Drake,4746497,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
16,"Prisoner (feat. Dua Lipa)","Miley Cyrus",4679283,https://open.spotify.com/track/5JqZ3oqF00jkT81foAFvqg
17,Dynamite,BTS,4615752,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
18,"Rockin' Around The Christmas Tree","Brenda Lee",4491982,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
19,HOLIDAY,"Lil Nas X",4377845,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
20,Body,"Megan Thee Stallion",4366272,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
21,"Jingle Bell Rock","Bobby Helms",4214438,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
22,"Lonely (with benny blanco)","Justin Bieber",4076996,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
23,"It's the Most Wonderful Time of the Year","Andy Williams",4021685,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
24,"Tyler Herro","Jack Harlow",3978966,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
25,"Last Christmas",Wham!,3955090,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
26,"Come & Go (with Marshmello)","Juice WRLD",3923585,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
27,"Santa Tell Me","Ariana Grande",3906820,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
28,"Holy (feat. Chance The Rapper)","Justin Bieber",3882889,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
29,"Blinding Lights","The Weeknd",3867647,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
30,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,3782064,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
31,"Wishing Well","Juice WRLD",3732623,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
32,"It's Beginning to Look a Lot like Christmas","Michael Bublé",3699982,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
33,Whoopty,CJ,3657875,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
34,"Put Your Records On","Ritt Momney",3472558,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
35,Heather,"Conan Gray",3428631,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
36,"Forever After All","Luke Combs",3370413,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
37,"Levitating (feat. DaBaby)","Dua Lipa",3362890,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
38,"SO DONE","The Kid LAROI",3283672,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
39,"Martin & Gina","Polo G",3249112,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
40,"Watermelon Sugar","Harry Styles",3220140,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
41,"Still Goin Down","Morgan Wallen",3202925,https://open.spotify.com/track/096YtKWNRXdmYKFLelSBto
42,"you broke me first","Tate McRae",3169362,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
43,"All Girls Are The Same","Juice WRLD",3132882,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
44,"Hawái - Remix",Maluma,3110538,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
45,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",3054792,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
46,"Underneath the Tree","Kelly Clarkson",3040393,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
47,"Blueberry Faygo","Lil Mosey",2990004,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
48,Sofia,Clairo,2961100,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
49,"Lucid Dreams","Juice WRLD",2959582,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
50,"my ex's best friend (with blackbear)","Machine Gun Kelly",2894238,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
51,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2855274,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
52,"Dreams - 2004 Remaster","Fleetwood Mac",2853620,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
53,"Sweater Weather","The Neighbourhood",2837429,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
54,Wonder,"Shawn Mendes",2832532,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
55,"7 Summers","Morgan Wallen",2819023,https://open.spotify.com/track/0tbjiOUl4k492KPdWZS9sy
56,Runnin,"21 Savage",2778842,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
57,Robbery,"Juice WRLD",2761431,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
58,"Mr. Right Now (feat. Drake)","21 Savage",2749950,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
59,Circles,"Megan Thee Stallion",2643098,https://open.spotify.com/track/08TILUAN56HJoS1d9mNRty
60,"Fly To My Room",BTS,2622619,https://open.spotify.com/track/3QH8rQGNFX8VLbCgZ7uPTS
61,"Cry Baby (feat. DaBaby)","Megan Thee Stallion",2611532,https://open.spotify.com/track/4aarlAfLKVCTxUDNgbwhjH
62,"The Box","Roddy Ricch",2598296,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
63,"POPSTAR (feat. Drake)","DJ Khaled",2595476,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
64,Circles,"Post Malone",2580045,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
