,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,positions,"Ariana Grande",11638281,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
2,34+35,"Ariana Grande",10380924,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
3,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",7796741,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
4,"motive (with Doja Cat)","Ariana Grande",7586598,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
5,"Mood (feat. iann dior)",24kGoldn,7490019,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
6,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",6610369,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
7,"off the table (with The Weeknd)","Ariana Grande",6552780,https://open.spotify.com/track/7E1jVNoWuemqUryI4FxsVD
8,"WAP (feat. Megan Thee Stallion)","Cardi B",6351745,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
9,DÁKITI,"Bad Bunny",6292112,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
10,pov,"Ariana Grande",6171392,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
11,"just like magic","Ariana Grande",6147808,https://open.spotify.com/track/7Dx9Z6Aon1qPS2N0rHSWTe
12,"shut up","Ariana Grande",5711950,https://open.spotify.com/track/3ko9jEHNt4O5fjKN65ULJp
13,"Laugh Now Cry Later (feat. Lil Durk)",Drake,5654758,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
14,"What You Know Bout Love","Pop Smoke",5602521,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
15,"safety net (feat. Ty Dolla $ign)","Ariana Grande",5393649,https://open.spotify.com/track/14gkWVFMwdxBMyqBw1wmIg
16,nasty,"Ariana Grande",5392560,https://open.spotify.com/track/0sci7ppTZFm4mjcH3nu8yO
17,"Forever After All","Luke Combs",5109674,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
18,"six thirty","Ariana Grande",5044620,https://open.spotify.com/track/2IKJtXeR5UsaUjZB46fTOK
19,"my hair","Ariana Grande",4896345,https://open.spotify.com/track/6u7gmPOz7pzzaeR9xSBpsR
20,"Tyler Herro","Jack Harlow",4763812,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
21,"Lonely (with benny blanco)","Justin Bieber",4529838,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
22,"Blinding Lights","The Weeknd",4507212,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
23,"Holy (feat. Chance The Rapper)","Justin Bieber",4466302,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
24,obvious,"Ariana Grande",4443148,https://open.spotify.com/track/0q85C1JiECyYIQthz1posA
25,"west side","Ariana Grande",4351926,https://open.spotify.com/track/1whfVLMKWqAX3uk97VXsNN
26,"love language","Ariana Grande",4313795,https://open.spotify.com/track/6NYtLvyThMT0oALFdJFdzq
27,"Come & Go (with Marshmello)","Juice WRLD",4208438,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
28,"Put Your Records On","Ritt Momney",4100186,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
29,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,4066195,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
30,"Wishing Well","Juice WRLD",3824304,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
31,"you broke me first","Tate McRae",3615181,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
32,Heather,"Conan Gray",3571338,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
33,Dynamite,BTS,3501143,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
34,"Dreams - 2004 Remaster","Fleetwood Mac",3469149,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
35,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",3460787,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
36,"POPSTAR (feat. Drake)","DJ Khaled",3460579,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
37,"Mr. Right Now (feat. Drake)","21 Savage",3415671,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
38,"Watermelon Sugar","Harry Styles",3378844,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
39,"Blueberry Faygo","Lil Mosey",3294952,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
40,"my ex's best friend (with blackbear)","Machine Gun Kelly",3250780,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
41,"Martin & Gina","Polo G",3224558,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
42,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,3134979,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
43,"Levitating (feat. DaBaby)","Dua Lipa",3113172,https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr
44,Wonder,"Shawn Mendes",3101843,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
45,Sofia,Clairo,3078030,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
46,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",3062488,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
47,PRACTICE,DaBaby,2984860,https://open.spotify.com/track/4Z5FyQlevoHoa5FsIVKZju
48,"All Girls Are The Same","Juice WRLD",2971572,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
49,"SO DONE","The Kid LAROI",2930281,https://open.spotify.com/track/5psEZhQu6lukjhavJo4AbC
50,"Spicy (feat. Post Malone)","Ty Dolla $ign",2876724,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
51,"Lucid Dreams","Juice WRLD",2852387,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
52,"24 (feat. Lil Baby)","Money Man",2844884,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5
53,Runnin,"21 Savage",2795776,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
54,"Mood Swings (feat. Lil Tjay)","Pop Smoke",2795033,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
55,Robbery,"Juice WRLD",2739452,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
56,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2717650,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
57,Daisy,Ashnikko,2651045,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
58,Circles,"Post Malone",2633714,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
59,"The Box","Roddy Ricch",2614366,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
60,"Savage Love (Laxed - Siren Beat)","Jawsh 685",2488867,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
61,"Monster Mash","Bobby ""Boris"" Pickett",2471595,https://open.spotify.com/track/0xxZY5C9xxij3D1HkzbnfC
62,"Go Crazy","Chris Brown",2452757,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
63,Thriller,"Michael Jackson",2441821,https://open.spotify.com/track/3S2R0EVwBSAVMd5UMgKTL0
64,Golden,"Harry Styles",2425571,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
65,"Midnight Sky","Miley Cyrus",2422726,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
66,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,2407409,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
67,"Someone You Loved","Lewis Capaldi",2404428,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
68,"Roses - Imanbek Remix","SAINt JHN",2395625,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
69,"Before You Go","Lewis Capaldi",2372703,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
70,"Smile (with The Weeknd)","Juice WRLD",2362614,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
71,Weeeeee,"Trippie Redd",2316647,https://open.spotify.com/track/2PI3qpTqYowwMzOSQRuj73
72,"Excitement (feat. PARTYNEXTDOOR)","Trippie Redd",2283372,https://open.spotify.com/track/7FullO2NDkyvxLuxYVKINa
73,"Sweater Weather","The Neighbourhood",2259982,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
74,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",2212408,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
75,"Better Together","Luke Combs",2199134,https://open.spotify.com/track/6gdLyYNuhWBzqwlOFSsXC7
76,"7 Summers","Morgan Wallen",2144699,https://open.spotify.com/track/0tbjiOUl4k492KPdWZS9sy
77,"Got It On Me","Pop Smoke",2141505,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
78,"Electric Love",BØRNS,2138405,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
79,Ghostbusters,"Ray Parker Jr.",2119681,https://open.spotify.com/track/6thXB4RmajS4oZPNiBAKy0
80,"death bed (coffee for your head)",Powfu,2107988,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
81,"Adore You","Harry Styles",2095993,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
82,"SLOW DANCING IN THE DARK",Joji,2095811,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
83,goosebumps,"Travis Scott",2095750,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
84,"Train Wreck","James Arthur",2088305,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
85,"Wolves (feat. Post Malone)","Big Sean",2087372,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ
86,"After Party","Don Toliver",2083403,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
87,"hot girl bummer",blackbear,2081903,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
88,"Head & Heart (feat. MNEK)","Joel Corry",2081051,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
89,"Life Is Good (feat. Drake)",Future,2076113,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
90,"Party Girl",StaySolidRocky,2067337,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
91,"GO (feat. Juice WRLD)","The Kid LAROI",2032320,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ
92,"Blastoff (feat. Juice Wrld & Trippie Redd)","Internet Money",2024559,https://open.spotify.com/track/7dH9TPjTWQ60wOJkmYay8a
93,"More Than My Hometown","Morgan Wallen",2024279,https://open.spotify.com/track/0eBXyY4SatzpE7opnzgXvz
94,"Are You Bored Yet? (feat. Clairo)",Wallows,2012996,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
95,"SICKO MODE","Travis Scott",2002499,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
96,Righteous,"Juice WRLD",1987449,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm
97,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,1965843,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
98,Diamonds,"Sam Smith",1965050,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
