,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"WAP (feat. Megan Thee Stallion)","Cardi B",13483532,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
2,"Mood (feat. iann dior)",24kGoldn,10030413,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,"Laugh Now Cry Later (feat. Lil Durk)",Drake,8905084,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
4,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",7999509,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI
5,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",7667531,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
6,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,6185442,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
7,"POPSTAR (feat. Drake)","DJ Khaled",5789394,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
8,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",5760134,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
9,"Come & Go (with Marshmello)","Juice WRLD",5494883,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
10,"Wishing Well","Juice WRLD",5465068,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
11,Heather,"Conan Gray",5461335,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
12,Dynamite,BTS,4999112,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
13,"Blinding Lights","The Weeknd",4886445,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,"Watermelon Sugar","Harry Styles",4801434,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
15,"Mood Swings (feat. Lil Tjay)","Pop Smoke",4762468,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
16,"you broke me first","Tate McRae",4333186,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
17,"Smile (with The Weeknd)","Juice WRLD",4234632,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
18,"Blueberry Faygo","Lil Mosey",4194124,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
19,"Savage Love (Laxed - Siren Beat)","Jawsh 685",4000501,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
20,"Go Crazy","Chris Brown",3731718,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
21,"7 Summers","Morgan Wallen",3620160,https://open.spotify.com/track/0tbjiOUl4k492KPdWZS9sy
22,"my ex's best friend (with blackbear)","Machine Gun Kelly",3557975,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w
23,"Roses - Imanbek Remix","SAINt JHN",3510091,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
24,"Wolves (feat. Post Malone)","Big Sean",3469509,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ
25,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",3430964,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
26,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",3411452,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
27,"GREECE (feat. Drake)","DJ Khaled",3251714,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
28,"Lucid Dreams","Juice WRLD",3169025,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
29,"Midnight Sky","Miley Cyrus",3165979,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
30,"Martin & Gina","Polo G",3146198,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
31,Hawái,Maluma,3123425,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
32,"The Box","Roddy Ricch",3102650,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
33,Robbery,"Juice WRLD",3102275,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
