,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,drivers license,Olivia Rodrigo,11754368,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,Save Your Tears,The Weeknd,7611570,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
3,Good Days,SZA,7462224,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
4,Blinding Lights,The Weeknd,6944779,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,Up,Cardi B,6865504,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
6,Streets,Doja Cat,6491672,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
7,Whoopty,CJ,5061462,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
8,Mood (feat. iann dior),24kGoldn,4449275,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
9,Levitating (feat. DaBaby),Dua Lipa,4302003,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
10,DÁKITI,Bad Bunny,4282307,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
11,34+35,Ariana Grande,4213276,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
12,WITHOUT YOU,The Kid LAROI,4192149,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
13,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,4040876,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
14,Best Friend (feat. Doja Cat),Saweetie,3975314,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
15,Wasted On You,Morgan Wallen,3856995,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
16,positions,Ariana Grande,3798228,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
17,Sand In My Boots,Morgan Wallen,3783529,https://open.spotify.com/track/0uRrG2jRR5tuifsYIJHEao
18,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,3676460,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
19,Sweater Weather,The Neighbourhood,3488447,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
20,Somebody’s Problem,Morgan Wallen,3479801,https://open.spotify.com/track/42lqBjPYlmL1EXpMDXvhSN
21,What You Know Bout Love,Pop Smoke,3472887,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
22,WAP (feat. Megan Thee Stallion),Cardi B,3460247,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
23,Heat Waves,Glass Animals,3399493,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
24,my ex's best friend (with blackbear),Machine Gun Kelly,3322984,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
25,Laugh Now Cry Later (feat. Lil Durk),Drake,3307346,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
26,Therefore I Am,Billie Eilish,3269724,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
27,The Hills,The Weeknd,3235072,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
28,Body,Megan Thee Stallion,3175226,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
29,Wishing Well,Juice WRLD,3149013,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
30,Back In Blood (feat. Lil Durk),Pooh Shiesty,3134927,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
31,Anyone,Justin Bieber,3069676,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
32,All Girls Are The Same,Juice WRLD,3049509,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
33,Bad Boy (with Young Thug),Juice WRLD,3039699,https://open.spotify.com/track/43CIWpJaJHRcI4mUSjqgc2
34,you broke me first,Tate McRae,3027812,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
35,ROCKSTAR (feat. Roddy Ricch),DaBaby,2862621,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
36,Cry Baby (feat. DaBaby),Megan Thee Stallion,2838586,https://open.spotify.com/track/4aarlAfLKVCTxUDNgbwhjH
37,GNF (OKOKOK),Polo G,2791406,https://open.spotify.com/track/1A8990rtwHQ417l3yADe5t
38,Lucid Dreams,Juice WRLD,2777189,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
39,Come & Go (with Marshmello),Juice WRLD,2771092,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
40,Martin & Gina,Polo G,2762088,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
