,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,drivers license,Olivia Rodrigo,25860345,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,Good Days,SZA,8943952,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
3,Bad Boy (with Young Thug),Juice WRLD,6486161,https://open.spotify.com/track/43CIWpJaJHRcI4mUSjqgc2
4,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",Ariana Grande,6273685,https://open.spotify.com/track/3jjBPF4NDMCU51psU8JPpR
5,Whoopty,CJ,5394622,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
6,Mood (feat. iann dior),24kGoldn,5191878,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
7,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,5116242,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
8,WITHOUT YOU,The Kid LAROI,4882357,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
9,positions,Ariana Grande,4812638,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
10,DÁKITI,Bad Bunny,4701678,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
11,Levitating (feat. DaBaby),Dua Lipa,4676887,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
12,Wasted On You,Morgan Wallen,4669859,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
13,Blinding Lights,The Weeknd,4512836,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,Anyone,Justin Bieber,4501233,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
15,Somebody’s Problem,Morgan Wallen,4434637,https://open.spotify.com/track/42lqBjPYlmL1EXpMDXvhSN
16,Save Your Tears,The Weeknd,4413499,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
17,Streets,Doja Cat,4342552,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
18,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,4056624,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
19,34+35,Ariana Grande,3971135,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
20,Best Friend (feat. Doja Cat),Saweetie,3912379,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
21,What You Know Bout Love,Pop Smoke,3890343,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
22,WAP (feat. Megan Thee Stallion),Cardi B,3866582,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
23,Therefore I Am,Billie Eilish,3848498,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
24,Sand In My Boots,Morgan Wallen,3717070,https://open.spotify.com/track/0uRrG2jRR5tuifsYIJHEao
25,Body,Megan Thee Stallion,3683588,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
26,Laugh Now Cry Later (feat. Lil Durk),Drake,3665084,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
27,Sweater Weather,The Neighbourhood,3583978,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
