,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Auto Blu,Shiva,1943187,https://open.spotify.com/track/2chEq24EHjyw9Zjmwq0hlS
2,Fiori di Chernobyl,Mr.Rain,1669963,https://open.spotify.com/track/54PxYcGpSUCmlpGdFGTaYR
3,Good Times,Ghali,1586244,https://open.spotify.com/track/6GpvHaqp0Yybx9P6YnodRD
4,Roses - Imanbek Remix,SAINt JHN,1401262,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,death bed (coffee for your head),Powfu,1371880,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
6,Bando,ANNA,1250063,https://open.spotify.com/track/0kzGjSRHGVcaWxagzQwAyD
7,Blinding Lights,The Weeknd,1217119,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
8,Cioilflow (feat. Salmo) - prod. Strage,Dani Faiv,1122367,https://open.spotify.com/track/5ChFLb70vqPgcH5zRbQ6h3
9,blun7 a swishland,tha Supreme,1092016,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
10,Boogieman (feat. Salmo),Ghali,1038775,https://open.spotify.com/track/10Q5VqDAAbwExYkNha3VKH
11,Per sentirmi vivo,Fasma,1033431,https://open.spotify.com/track/20v9X8TV0AgwNGFT71OX3w
12,Rapide,Mahmood,994708,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
13,Nena (feat. Geolier & Andry The Hitmaker),Boro Boro,980912,https://open.spotify.com/track/6TEPwGCSq4XGWu3hnZkC5m
14,Dilemme (with tha Supreme & Mara Sattei),Lous and The Yakuza,957827,https://open.spotify.com/track/1Whf2ZaesM1gXlU0z3Fslt
15,Le Feste Di Pablo (con Fedez),CARA,933602,https://open.spotify.com/track/73x0EIT2YyIxTs3Rpd3n5T
16,Tusa,KAROL G,917107,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
17,Toosie Slide,Drake,915045,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
18,Ringo Starr,Pinguini Tattici Nucleari,879325,https://open.spotify.com/track/5yfE6GXTuJaAlepKoE0wJE
19,Ma lo vuoi capire?,Tommaso Paradiso,854082,https://open.spotify.com/track/4Veqf07wBQY58QVqNGA1M7
20,Ora che ti guardo bene,Gazzelle,833551,https://open.spotify.com/track/25rH6l9UjJaLu4Ckxku8XT
21,Musica (E Il Resto Scompare),Elettra Lamborghini,751077,https://open.spotify.com/track/3Nc7IorgrSffzaQrQWVw4L
22,Dance Monkey,Tones And I,749306,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
23,Chega,Gaia,726394,https://open.spotify.com/track/0XdjGLxXQhiPkOqXtAyEZ9
24,Falling,Trevor Daniel,726137,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
25,Boss Bitch,Doja Cat,721557,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
26,Fai rumore,Diodato,703823,https://open.spotify.com/track/2ZwcnFDvQueNemTt89qCom
27,Snitch E Impicci (con FSK SATELLITE),DrefGold,698922,https://open.spotify.com/track/6HDdOPc6FWpMfjC8ebzdRC
28,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,678947,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
29,BRAVI A CADERE - I polmoni,Marracash,676998,https://open.spotify.com/track/3me7fQdjgO8NHscb3xPaBa
30,fuck 3x,tha Supreme,674736,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
31,Viceversa,Francesco Gabbani,666145,https://open.spotify.com/track/04ldF8QeASSyJLMtZJJfqA
32,16 Marzo (feat. Gow Tribe),Achille Lauro,643374,https://open.spotify.com/track/3nwH3HTFzpnRV5SqM9um3r
33,Una volta ancora (feat. Ana Mena),Fred De Palma,634417,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
34,ANSIA NO,FSK SATELLITE,625953,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
35,Don't Start Now,Dua Lipa,621376,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
36,Before You Go,Lewis Capaldi,612567,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
37,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,582954,https://open.spotify.com/track/5EpBEqf5bnKeJ3p4zA1Sod
38,Baila Conmigo (feat. Kelly Ruiz),Dayvi,573803,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
39,Chiasso,Random,553371,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
40,Marymango (feat. tha Supreme),Ghali,553185,https://open.spotify.com/track/7eHHKYb2cRRqqzl8bbiwA3
41,Physical,Dua Lipa,549561,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
42,The Box,Roddy Ricch,544397,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
43,Allora ciao,Shade,543900,https://open.spotify.com/track/5mtMuoCiBExgzH8SOdXyNB
44,CRUDELIA - I nervi,Marracash,542237,https://open.spotify.com/track/5dsz7MTrNdN9aMTrnp7sOG
45,NEON - Le Ali (feat. Elisa),Marracash,528602,https://open.spotify.com/track/76cEI7LczlKZ1yLAHIoPBJ
46,Bicarbonato - prod. Night Skinny,Milano Ovest,516960,https://open.spotify.com/track/4qWNeIIVV3VY4q1YSDsmAM
47,Cin Cin,Alfa,513870,https://open.spotify.com/track/1jJMhPp0Rm6lAi077PXeEQ
48,Tutto Questo Sei Tu,Ultimo,498890,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
49,Tikibombom,Levante,497343,https://open.spotify.com/track/4JNT4VElmvNmJaQUhwPzg9
50,"SPORT + muscoli (RMX) (feat. Lazza, Paky, Luchè & Taxi B)",Marracash,492347,https://open.spotify.com/track/7srDOLMwjMC07Dzs7mqCnv
51,Me ne frego,Achille Lauro,482339,https://open.spotify.com/track/1MF3gav7PNaNkv7ohlBKBD
52,Savage,Megan Thee Stallion,474332,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
53,Dove e quando,Benji & Fede,471721,https://open.spotify.com/track/5XM7tx8ovQ9UrYqUowW1AK
54,Calmo,Shiva,465281,https://open.spotify.com/track/6A5qLjVbEC2vNlu17tsExI
55,Che Poi,Carl Brave,459571,https://open.spotify.com/track/55BfNKdOeu77gxPB0UGnAw
56,ROXANNE,Arizona Zervas,448572,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
57,"Sunday Best (Feeling Good, Like I Should)",Surfaces,447099,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
58,Blueberry Faygo,Lil Mosey,443813,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
59,"PAROLA - feat. Lazza, Emis Killa",Giaime,443241,https://open.spotify.com/track/4XxQOwmNM0DF3bKafSJBNw
