,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Calmo,Shiva,2406638,https://open.spotify.com/track/6A5qLjVbEC2vNlu17tsExI
2,blun7 a swishland,tha Supreme,2239250,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
3,Chance (feat. Capo Plaza),Shiva,2169441,https://open.spotify.com/track/7CQwJNaHvxUPye0X7bTh7g
4,Milano Ovest - feat. Marracash,Shiva,1902229,https://open.spotify.com/track/3cE4UNH9qcytquPyAhsm77
5,Boogieman (feat. Salmo),Ghali,1791998,https://open.spotify.com/track/7awUp2mRP7xjX9wBKhuwRu
6,ANSIA NO,FSK SATELLITE,1773287,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
7,Dance Monkey,Tones And I,1550233,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
8,fuck 3x,tha Supreme,1475730,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
9,Domani,Shiva,1471255,https://open.spotify.com/track/4Rl6JXohwpj0pqwl1TwTAk
10,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,1461989,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
11,Rapide,Mahmood,1321893,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
12,BRAVI A CADERE - I polmoni,Marracash,1303352,https://open.spotify.com/track/4SpV49wwekArulAVjEez3i
13,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,1264294,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
14,CRUDELIA - I nervi,Marracash,1249807,https://open.spotify.com/track/1OeIJITrlUR4qss2kywMEn
15,Falling,Trevor Daniel,1219592,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
16,Scarabeo,Shiva,1201917,https://open.spotify.com/track/5pGox0nPJNbhxAPCkduUS8
17,Stu core t'apparten,Rocco Hunt,1189041,https://open.spotify.com/track/3nhAgjyrfUUCNDMZHx6LCa
18,Blinding Lights,The Weeknd,1133913,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
19,Tutto Questo Sei Tu,Ultimo,1086774,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
20,Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,1062407,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
21,Diario di Noel,Shiva,1045905,https://open.spotify.com/track/35hk0WaDrwIic6VNISSCOS
22,Allora ciao,Shade,1029243,https://open.spotify.com/track/5mtMuoCiBExgzH8SOdXyNB
23,Godzilla (feat. Juice WRLD),Eminem,1024541,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
24,Figlio della Calle,Shiva,1021425,https://open.spotify.com/track/5GnA7KKO5JuCy9bZYz4S2K
25,RITMO (Bad Boys For Life),Black Eyed Peas,1010673,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
26,Boss,Paky,989368,https://open.spotify.com/track/4ijux7JMNY2IpBtTsuYrK4
