,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Boogieman (feat. Salmo),Ghali,3146780,https://open.spotify.com/track/7awUp2mRP7xjX9wBKhuwRu
2,blun7 a swishland,tha Supreme,2664441,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
3,ANSIA NO,FSK SATELLITE,2030049,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
4,Stu core t'apparten,Rocco Hunt,1828438,https://open.spotify.com/track/3nhAgjyrfUUCNDMZHx6LCa
5,fuck 3x,tha Supreme,1760040,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
6,Dance Monkey,Tones And I,1691274,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,1544549,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
8,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,1473905,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
9,Godzilla (feat. Juice WRLD),Eminem,1394328,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
10,CRUDELIA - I nervi,Marracash,1373048,https://open.spotify.com/track/1OeIJITrlUR4qss2kywMEn
11,BRAVI A CADERE - I polmoni,Marracash,1336366,https://open.spotify.com/track/4SpV49wwekArulAVjEez3i
12,Soldi in Nero - feat. Sfera Ebbasta,Shiva,1261353,https://open.spotify.com/track/1Xm2e1vDwOMeJJioWuG1s7
13,Tutto Questo Sei Tu,Ultimo,1215876,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
14,Falling,Trevor Daniel,1159705,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
15,Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,1148448,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
16,RITMO (Bad Boys For Life),Black Eyed Peas,1146559,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
17,Calmo,Shiva,1105720,https://open.spotify.com/track/6A5qLjVbEC2vNlu17tsExI
18,Allora ciao,Shade,1065850,https://open.spotify.com/track/5mtMuoCiBExgzH8SOdXyNB
19,Rapide,Mahmood,993718,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
20,ROXANNE,Arizona Zervas,980355,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
21,Holly & Benji (feat. Capo Plaza & Shiva),AVA,950478,https://open.spotify.com/track/4tchNSV4eZQ9vG4GNA4iJa
