,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Mediterranea,Irama,2787613,https://open.spotify.com/track/47xPl1gvgdx4Z9dNUuloPg
2,Il bacio di Klimt,Emanuele Aloia,2029177,https://open.spotify.com/track/3E1FgPTXX203rgBTD5nlKF
3,Good Times,Ghali,1953785,https://open.spotify.com/track/5165XjbVxwq9dQDxNk7hmf
4,MAMACITA,Black Eyed Peas,1892028,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
5,Spigoli,Carl Brave,1618456,https://open.spotify.com/track/1XQvMjA9IiIx1lAiTHSxQi
6,Fiori di Chernobyl,Mr.Rain,1514009,https://open.spotify.com/track/54PxYcGpSUCmlpGdFGTaYR
7,ELEGANTE (feat. Sfera Ebbasta),DrefGold,1465261,https://open.spotify.com/track/7qADAhkEs9vv3ll4hP8ybC
8,"TesTa TrA Le NuVoLE, pT. 2",Alfa,1450703,https://open.spotify.com/track/04UtYEP1Jc0GRxbvH1B6Nk
9,Sono un bravo ragazzo un po' fuori di testa,Random,1439826,https://open.spotify.com/track/4fllTuc6KM95uB3ZqqiGYd
10,Roses - Imanbek Remix,SAINt JHN,1403146,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
11,death bed (coffee for your head),Powfu,1376132,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
12,Nena (feat. Geolier & Andry The Hitmaker),Boro Boro,1359676,https://open.spotify.com/track/6TEPwGCSq4XGWu3hnZkC5m
13,Auto Blu,Shiva,1299591,https://open.spotify.com/track/2chEq24EHjyw9Zjmwq0hlS
14,GOOBA,6ix9ine,1275551,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
15,ROCKSTAR (feat. Roddy Ricch),DaBaby,1267171,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
16,Chega,Gaia,1154059,https://open.spotify.com/track/76w5oLSdgYvA0Bt4dTUe0Z
17,Blinding Lights,The Weeknd,1050732,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
18,Tusa,KAROL G,1049707,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
19,Le Feste Di Pablo (con Fedez),CARA,1024504,https://open.spotify.com/track/73x0EIT2YyIxTs3Rpd3n5T
20,Toosie Slide,Drake,1017677,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
21,Boogieman (feat. Salmo),Ghali,969250,https://open.spotify.com/track/58bRZqUPWnpop0WC9ob5wJ
22,TKN (feat. Travis Scott),ROSALÍA,942338,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
23,MILF (feat. Taxi B),Ghali,897421,https://open.spotify.com/track/2ijphJfSmJV7iOcBnSXFu0
24,Rain On Me (with Ariana Grande),Lady Gaga,889560,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
25,Bella così - feat. Federica Carta,Chadia Rodriguez,883453,https://open.spotify.com/track/3XLyyybPY2d8kLiMb8HIyA
26,Missili,Frah Quintale,879578,https://open.spotify.com/track/5dcyltc1ataieXIeTqhH3t
27,Per sentirmi vivo,Fasma,877495,https://open.spotify.com/track/20v9X8TV0AgwNGFT71OX3w
28,Dilemme (with tha Supreme & Mara Sattei),Lous and The Yakuza,850921,https://open.spotify.com/track/1Whf2ZaesM1gXlU0z3Fslt
29,blun7 a swishland,tha Supreme,845463,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
