,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Bando,ANNA,2995331,https://open.spotify.com/track/0kzGjSRHGVcaWxagzQwAyD
2,Good Times,Ghali,2589229,https://open.spotify.com/track/6GpvHaqp0Yybx9P6YnodRD
3,Boogieman (feat. Salmo),Ghali,2155175,https://open.spotify.com/track/10Q5VqDAAbwExYkNha3VKH
4,Per sentirmi vivo,Fasma,1763664,https://open.spotify.com/track/20v9X8TV0AgwNGFT71OX3w
5,RAP SHIT (feat. tha Supreme & Gemitaiz) - prod. STABBER,Nitro,1711446,https://open.spotify.com/track/2Fbj0y0HEUKCZkUsI71PUx
6,Ringo Starr,Pinguini Tattici Nucleari,1648078,https://open.spotify.com/track/5yfE6GXTuJaAlepKoE0wJE
7,Snitch E Impicci (con FSK SATELLITE),DrefGold,1608939,https://open.spotify.com/track/6HDdOPc6FWpMfjC8ebzdRC
8,Rapide,Mahmood,1566568,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
9,blun7 a swishland,tha Supreme,1546165,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
10,Musica (E Il Resto Scompare),Elettra Lamborghini,1360324,https://open.spotify.com/track/3Nc7IorgrSffzaQrQWVw4L
11,Fai rumore,Diodato,1293008,https://open.spotify.com/track/2ZwcnFDvQueNemTt89qCom
12,Marymango (feat. tha Supreme),Ghali,1292424,https://open.spotify.com/track/7eHHKYb2cRRqqzl8bbiwA3
13,NEON - Le Ali (feat. Elisa),Marracash,1273000,https://open.spotify.com/track/1eUQzE6z4GUgA0byOPeCJF
14,Blinding Lights,The Weeknd,1227623,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
15,Viceversa,Francesco Gabbani,1201565,https://open.spotify.com/track/04ldF8QeASSyJLMtZJJfqA
16,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,1085720,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
17,ANSIA NO,FSK SATELLITE,1066173,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
18,OKAY?! (feat. Lazza) - prod. Lazza & STABBER,Nitro,1042472,https://open.spotify.com/track/5dIkDibfzme6eZddAOQQqZ
19,Me ne frego,Achille Lauro,1013695,https://open.spotify.com/track/1MF3gav7PNaNkv7ohlBKBD
20,"Fuego (with Geolier & Lele Blade) - Prod. Poison Beatz, Tom Trigger",Neves17,1008826,https://open.spotify.com/track/6XPYGFacwZAtmoSVi9m4eT
21,BRAVI A CADERE - I polmoni,Marracash,996322,https://open.spotify.com/track/4SpV49wwekArulAVjEez3i
22,Dance Monkey,Tones And I,983077,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
23,Tusa,KAROL G,963833,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
24,GarbAge - prod. Strage & STABBER,Nitro,899587,https://open.spotify.com/track/4zZ1KLUmzKY3rqlOlq68hW
25,CRUDELIA - I nervi,Marracash,894970,https://open.spotify.com/track/1OeIJITrlUR4qss2kywMEn
26,Saturno - prod. Strage,Nitro,888105,https://open.spotify.com/track/6AOL4BUu1uololprpYnlfH
27,Before You Go,Lewis Capaldi,874828,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
28,Andromeda,Elodie,873650,https://open.spotify.com/track/4iceKk4reL0vg2yDwXxQNF
