,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,PUSSY (feat. Lazza & Salmo),Dark Polo Gang,2555796,https://open.spotify.com/track/7MhzmWFJYSEsL8wK7hufaC
2,AMIRI BOYS (feat. Capo Plaza),Dark Polo Gang,2064080,https://open.spotify.com/track/336EcNskIVcF8deRT8m1zY
3,SAVAGE (feat. Tedua),Dark Polo Gang,1930129,https://open.spotify.com/track/4kG6FMpUB3bUmlwLAmv6PM
4,4L (feat. MamboLosco),Dark Polo Gang,1731161,https://open.spotify.com/track/73tvJPxq6K6J1Pd6p6it6t
5,Good Times,Ghali,1606265,https://open.spotify.com/track/3p7xEm9a2jaWCPelAr3upo
6,BIBERON (feat. DrefGold & ANNA),Dark Polo Gang,1572117,https://open.spotify.com/track/6yPfQyMA9azhv5yRfu6P3V
7,DARK LOVE GANG (feat. Ketama126),Dark Polo Gang,1528997,https://open.spotify.com/track/1aiAGn2OxoqoKHx9zfJe6N
8,GOOBA,6ix9ine,1498692,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
9,Fiori di Chernobyl,Mr.Rain,1413669,https://open.spotify.com/track/54PxYcGpSUCmlpGdFGTaYR
10,NO STUPID (feat. Boro Boro & Samurai Jay),Dark Polo Gang,1380958,https://open.spotify.com/track/0OnjJWjBuVIvHZ1n0Oe7ZC
11,death bed (coffee for your head),Powfu,1319949,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
12,Auto Blu,Shiva,1291788,https://open.spotify.com/track/2chEq24EHjyw9Zjmwq0hlS
13,Roses - Imanbek Remix,SAINt JHN,1268989,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
14,DARK,Dark Polo Gang,1245593,https://open.spotify.com/track/1z7AtsT8QvKWP7834ef9sN
15,Nena (feat. Geolier & Andry The Hitmaker),Boro Boro,1135931,https://open.spotify.com/track/6TEPwGCSq4XGWu3hnZkC5m
16,#FREETRAFFIK (feat. Traffik & Oni One),Dark Polo Gang,1079975,https://open.spotify.com/track/5HN0pZdklgXSD363mhsoGw
17,THE SCOTTS,THE SCOTTS,1073363,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
18,Blinding Lights,The Weeknd,1059959,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
19,blun7 a swishland,tha Supreme,959307,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
20,Boogieman (feat. Salmo),Ghali,921900,https://open.spotify.com/track/6E9QGyDV0fkeanLFePwybi
21,Il bacio di Klimt,Emanuele Aloia,920134,https://open.spotify.com/track/3E1FgPTXX203rgBTD5nlKF
22,GANG,Dark Polo Gang,906642,https://open.spotify.com/track/0Tw1Fxg80YAy39PhBKzmtf
23,goosebumps,Travis Scott,876607,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
24,Bando,ANNA,863048,https://open.spotify.com/track/0kzGjSRHGVcaWxagzQwAyD
25,Per sentirmi vivo,Fasma,855717,https://open.spotify.com/track/20v9X8TV0AgwNGFT71OX3w
26,Spigoli,Carl Brave,844851,https://open.spotify.com/track/1XQvMjA9IiIx1lAiTHSxQi
27,SICKO MODE,Travis Scott,841059,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
28,Toosie Slide,Drake,835639,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
29,Tusa,KAROL G,824591,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
30,Rapide,Mahmood,807162,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
31,Le Feste Di Pablo (con Fedez),CARA,800301,https://open.spotify.com/track/73x0EIT2YyIxTs3Rpd3n5T
32,Dilemme (with tha Supreme & Mara Sattei),Lous and The Yakuza,774003,https://open.spotify.com/track/1Whf2ZaesM1gXlU0z3Fslt
33,Cacao (feat. Pyrex),Ghali,754478,https://open.spotify.com/track/0R1il0ITLNcNInIBqwfXKw
34,MAMACITA,Black Eyed Peas,741953,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
35,Una volta ancora (feat. Ana Mena),Fred De Palma,717051,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
36,Ringo Starr,Pinguini Tattici Nucleari,711725,https://open.spotify.com/track/5yfE6GXTuJaAlepKoE0wJE
37,Boss Bitch,Doja Cat,706448,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
38,Chega,Gaia,688408,https://open.spotify.com/track/0XdjGLxXQhiPkOqXtAyEZ9
39,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,653327,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
40,Dance Monkey,Tones And I,644341,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
41,Snitch E Impicci (con FSK SATELLITE),DrefGold,639378,https://open.spotify.com/track/6HDdOPc6FWpMfjC8ebzdRC
42,Musica (E Il Resto Scompare),Elettra Lamborghini,636161,https://open.spotify.com/track/3Nc7IorgrSffzaQrQWVw4L
43,fuck 3x,tha Supreme,635274,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
44,Falling,Trevor Daniel,633131,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
45,Missili,Frah Quintale,628588,https://open.spotify.com/track/5dcyltc1ataieXIeTqhH3t
46,HIGHEST IN THE ROOM,Travis Scott,620744,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
47,16 Marzo (feat. Gow Tribe),Achille Lauro,591215,https://open.spotify.com/track/3nwH3HTFzpnRV5SqM9um3r
48,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,559831,https://open.spotify.com/track/5EpBEqf5bnKeJ3p4zA1Sod
49,MA IL CIELO E' SEMPRE BLU (ITALIANSTARS4LIFE),ITALIAN ALLSTARS 4 LIFE,557437,https://open.spotify.com/track/2xqyJa4BRzrEM4HQVgeazW
50,Stuck with U (with Justin Bieber),Ariana Grande,552349,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
51,Before You Go,Lewis Capaldi,540241,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
52,Chiasso,Random,529798,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
53,ANSIA NO,FSK SATELLITE,528944,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
54,Dove e quando,Benji & Fede,519287,https://open.spotify.com/track/5XM7tx8ovQ9UrYqUowW1AK
55,Bando - Remix,ANNA,519208,https://open.spotify.com/track/1Upi1oHB1ly7XdlbOz7Gjd
56,Viceversa,Francesco Gabbani,513957,https://open.spotify.com/track/04ldF8QeASSyJLMtZJJfqA
57,NEON - Le Ali (feat. Elisa),Marracash,510456,https://open.spotify.com/track/76cEI7LczlKZ1yLAHIoPBJ
58,Fai rumore,Diodato,509251,https://open.spotify.com/track/2ZwcnFDvQueNemTt89qCom
59,Physical,Dua Lipa,493582,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
60,CRUDELIA - I nervi,Marracash,493181,https://open.spotify.com/track/5dsz7MTrNdN9aMTrnp7sOG
61,Marymango (feat. tha Supreme),Ghali,486527,https://open.spotify.com/track/1ejlLAA420azVRdgYbshiU
62,Cin Cin,Alfa,483809,https://open.spotify.com/track/1jJMhPp0Rm6lAi077PXeEQ
63,BRAVI A CADERE - I polmoni,Marracash,481713,https://open.spotify.com/track/3me7fQdjgO8NHscb3xPaBa
64,Don't Start Now,Dua Lipa,475909,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
65,Crema di buccia,chiello_fsk,470644,https://open.spotify.com/track/2X6qtRhSl4r2KPnwpct4AT
66,Il Passo (feat. Samurai Jay),MamboLosco,470152,https://open.spotify.com/track/5DeyCr1ZPOLBYFwHOqn6Lv
67,Ridere,Pinguini Tattici Nucleari,468981,https://open.spotify.com/track/5LZVK19ieaV8Mk9FsqTL3F
68,Allora ciao,Shade,468313,https://open.spotify.com/track/5mtMuoCiBExgzH8SOdXyNB
