,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Blinding Lights,The Weeknd,1591024,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,Svag,Victor Leksell,1348792,https://open.spotify.com/track/5SY5BWTxbDqFouuAdelFV9
3,Toosie Slide,Drake,1267057,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
4,Komplicerad,Miss Li,1118937,https://open.spotify.com/track/29nwG4y9NFmN76yfUfc01d
5,WORKIN,Yasin,917663,https://open.spotify.com/track/3qaaqQxVCUwwoX4sLQnGpk
6,Roses - Imanbek Remix,SAINt JHN,908154,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
7,DIP DIP,Dree Low,861707,https://open.spotify.com/track/1JLzrXRCV1IBnOMdo7cCaM
8,Gav Allt,Jireel,797583,https://open.spotify.com/track/5zRMqUyt8G4Lkfd448pUH1
9,En säng av rosor,Darin,794805,https://open.spotify.com/track/14eKSIRO006SRXYpfoY8HK
10,Sverige,Molly Sandén,787110,https://open.spotify.com/track/0U04rQKFeBhMKDOEc8NYjk
11,In Your Eyes,The Weeknd,769647,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
12,724,Ant Wan,755337,https://open.spotify.com/track/3ZZ8CXYM90nGqzFUbYc53j
13,Rymden och tillbaka,Einár,734041,https://open.spotify.com/track/6UKGPl3YEvVBOdvtYwt3g4
14,Like It Is,Kygo,696538,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN
15,death bed (coffee for your head),Powfu,625185,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
16,Lev nu dö sen,Miss Li,610407,https://open.spotify.com/track/6HJasLoTKvxglAMQH8nPcD
17,Dance Monkey,Tones And I,601575,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
18,Apelsinskal (feat. Newkid),Tjuvjakt,578941,https://open.spotify.com/track/4RBuYTb1Ebw9XPJ4JIUDJd
19,Blueberry Faygo,Lil Mosey,538493,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
20,Bulletproof,Dotter,534072,https://open.spotify.com/track/4RcEx6TvICENelSh3O7gvu
21,Break My Heart,Dua Lipa,526360,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
22,Frank Lucas,Einár,523775,https://open.spotify.com/track/23vFYeIeVGp3HrXvN0ECVQ
23,Don't Start Now,Dua Lipa,507914,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
