,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Svag,Victor Leksell,3090555,https://open.spotify.com/track/5SY5BWTxbDqFouuAdelFV9
2,Blinding Lights,The Weeknd,1718866,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,ICE CREAM,Greekazo,1101516,https://open.spotify.com/track/1XrJFPU2gbR0YzKyugold7
4,Lev nu dö sen,Miss Li,1041881,https://open.spotify.com/track/6HJasLoTKvxglAMQH8nPcD
5,Forever Yours - Avicii Tribute,Kygo,1040031,https://open.spotify.com/track/3o1CUVeHIid49sabk6A6Nf
6,14,Asme,963636,https://open.spotify.com/track/7flv48R7F94nRVJgtmOr8A
7,Tills mitt hjärta går under,Myra Granberg,942627,https://open.spotify.com/track/71q2qYTo4BzqNGpy5S7vV3
8,Dance Monkey,Tones And I,936609,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
9,The Box,Roddy Ricch,872647,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
10,Godzilla (feat. Juice WRLD),Eminem,827921,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
11,Goat,Ant Wan,823468,https://open.spotify.com/track/6ujudUrnhMAHu08Nie6klI
12,Sci-fi,Adel,802805,https://open.spotify.com/track/1JEVK6gqfGPM5CIhGyIVnI
13,Mitten av september,Hov1,758825,https://open.spotify.com/track/7jjLKYImKi4sXsvPKwLoRq
14,XO,Yasin,738219,https://open.spotify.com/track/0JyOOPqNSdhIC7VrxrRNGt
15,PIPPI,Dree Low,710902,https://open.spotify.com/track/3ySRhREV5ceozxdk0lPqIe
16,GFLOW,Z.E,703611,https://open.spotify.com/track/684jrXb96qFbfvBFkLJ08d
17,No Cap,Adel,645395,https://open.spotify.com/track/3G69nPByVZKPtgsesLKbx4
18,everything i wanted,Billie Eilish,567370,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
19,PT:1,Yasin,548985,https://open.spotify.com/track/0peCogN4G8UuuhSB9jPUnN
20,The Dirt,Benjamin Ingrosso,548710,https://open.spotify.com/track/4sPZ6euGsdJxOE37TeF4MD
21,Yummy,Justin Bieber,538017,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
22,FÖRSENT,1.Cuz,532685,https://open.spotify.com/track/6mDcLPGVCmdhMN4gBzNb7s
23,Falling,Trevor Daniel,531226,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
24,Someone You Loved,Lewis Capaldi,513072,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
25,Första klivet,Lellow,509288,https://open.spotify.com/track/3rUb2v8JnqDwcQ3v3Yr057
26,Bra för dig,estraden,503873,https://open.spotify.com/track/3YCAQEpuFtgVVhEDJsW3gQ
27,Don't Start Now,Dua Lipa,495865,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
28,Valhalla,Ringnes-Ronny,488702,https://open.spotify.com/track/1icRHA6kFSipRbZREQPaA0
29,Memories,Maroon 5,481015,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
30,If the World Was Ending - feat. Julia Michaels,JP Saxe,475522,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
31,Det svåraste,estraden,474417,https://open.spotify.com/track/7Do7xOZdSa9a41RbBFORwe
32,Life Is Good (feat. Drake),Future,470312,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
33,POSTNORD,1.Cuz,469789,https://open.spotify.com/track/3RpfYdYDYQyhlP3mzISDlN
34,What If I Told You That I Love You,Ali Gatie,469429,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
35,TESLA,Macky,469081,https://open.spotify.com/track/4LZi20EAgNBhTR3OBWLzdr
36,Salt,Ava Max,465193,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
37,bad guy,Billie Eilish,431687,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
38,DANCE,CLMD,429673,https://open.spotify.com/track/6TfeXwJihJRuBW3mFpib6J
39,Before You Go,Lewis Capaldi,417635,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
40,Physical,Dua Lipa,399458,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
41,ROXANNE,Arizona Zervas,398608,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
42,BOYS WITH EMOTIONS,FELIX SANDMAN,398434,https://open.spotify.com/track/22K6G9TGc7uYaAao3h6IHA
43,You should be sad,Halsey,392771,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
44,Some Say,Nea,387168,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
45,Klär av dig,Victor Leksell,383831,https://open.spotify.com/track/7gt0BOQGPSst4wY6BQoH6u
