,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Blinding Lights,The Weeknd,1147446,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,XO,Yasin,1114598,https://open.spotify.com/track/0JyOOPqNSdhIC7VrxrRNGt
3,Dance Monkey,Tones And I,1030817,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,Lev nu dö sen,Miss Li,998052,https://open.spotify.com/track/6HJasLoTKvxglAMQH8nPcD
5,PT:1,Yasin,854757,https://open.spotify.com/track/0peCogN4G8UuuhSB9jPUnN
6,Yummy,Justin Bieber,769214,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
7,GFLOW,Z.E,731762,https://open.spotify.com/track/684jrXb96qFbfvBFkLJ08d
8,PIPPI,Dree Low,707743,https://open.spotify.com/track/3ySRhREV5ceozxdk0lPqIe
9,Första klivet,Lellow,661535,https://open.spotify.com/track/3rUb2v8JnqDwcQ3v3Yr057
10,FÖRSENT,1.Cuz,638903,https://open.spotify.com/track/6mDcLPGVCmdhMN4gBzNb7s
11,Tills mitt hjärta går under,Myra Granberg,611971,https://open.spotify.com/track/71q2qYTo4BzqNGpy5S7vV3
12,Someone You Loved,Lewis Capaldi,597359,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
13,everything i wanted,Billie Eilish,595658,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
14,Memories,Maroon 5,591814,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
15,TESLA,Macky,579515,https://open.spotify.com/track/4LZi20EAgNBhTR3OBWLzdr
16,Falling,Trevor Daniel,575878,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
17,ROXANNE,Arizona Zervas,551862,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
18,DSGIS,Yasin,531624,https://open.spotify.com/track/1ett0ayp7e0sad3oWQtJPQ
19,No Cap,Adel,509336,https://open.spotify.com/track/3G69nPByVZKPtgsesLKbx4
20,Va Mig,Ant Wan,454019,https://open.spotify.com/track/5HsBJenkDnrzim7o7uKwQq
21,Cleopatra,Ant Wan,448928,https://open.spotify.com/track/5QrUrRVyvzJSzxiJoiFa9w
22,Not For Sale,Yasin,448059,https://open.spotify.com/track/4URUc2gf1k0kjf7g7EsZV5
23,Circles,Post Malone,444517,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
24,Don't Start Now,Dua Lipa,443444,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
25,"Alone, Pt. II",Alan Walker,439535,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
