,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Svag,Victor Leksell,1502743,https://open.spotify.com/track/4SS4YfDAEQG0fZAe1xfgn3
2,Savage Love (Laxed - Siren Beat),Jawsh 685,1290808,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
3,Bedövning,Victor Leksell,1191399,https://open.spotify.com/track/4r3MaUVtwfSPXTsN5xX91i
4,Ha dig igen,Victor Leksell,1145703,https://open.spotify.com/track/6FY1QdP2WeXZ73ERGaSXVN
5,Komplicerad,Miss Li,1114120,https://open.spotify.com/track/29nwG4y9NFmN76yfUfc01d
6,Blinding Lights,The Weeknd,1083388,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
7,ROCKSTAR (feat. Roddy Ricch),DaBaby,1066139,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
8,Young & Heartless,Yasin,854846,https://open.spotify.com/track/6t0YIui8b5Jt8oUVOrmujk
9,Hiphop N RnB,Yasin,784255,https://open.spotify.com/track/5bx4stZRInFwFz40fHDa7h
10,Om igen,Victor Leksell,767108,https://open.spotify.com/track/3xVkdn1dj0fP1KesvRsGru
11,Roses - Imanbek Remix,SAINt JHN,674585,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
12,Lev nu dö sen,Miss Li,646227,https://open.spotify.com/track/6HJasLoTKvxglAMQH8nPcD
13,Kanske var vi rätt bra ändå,Newkid,616491,https://open.spotify.com/track/05HKKlHqE1HJ1oIqXpJ7yI
14,En säng av rosor,Darin,600510,https://open.spotify.com/track/14eKSIRO006SRXYpfoY8HK
15,Va min,Victor Leksell,576872,https://open.spotify.com/track/5LojI1Ym1EajNxV2UDc5gG
16,Fantasi,Victor Leksell,569561,https://open.spotify.com/track/3ZJiGpzCm9ZlDqp8jNqXFz
17,HELA ORTEN DANSAR,Dree Low,548738,https://open.spotify.com/track/7iwCho0zjHkHmkMXEpXI91
18,Someone,Jubël,525881,https://open.spotify.com/track/68zNuCEl9UHTbcBltW2uDv
19,Watermelon Sugar,Harry Styles,487006,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
20,"Oh, vilken härlig da'",Ted Gärdestad,472415,https://open.spotify.com/track/1Taqw1VEHl8Gy9qAZtRLAq
21,Sommartider,Gyllene Tider,472301,https://open.spotify.com/track/1d1BeKPNgaQ36wcxGqnfU3
22,In Your Eyes,The Weeknd,462227,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
23,"Sol, vind och vatten",Ted Gärdestad,457913,https://open.spotify.com/track/0lwJH1BDr8Z4wfXvi6yC9y
24,Dance Monkey,Tones And I,457420,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
25,NBA,Adel,455679,https://open.spotify.com/track/1ZbJ3gRKNhoVxsIiF06ZjO
26,Shelley - Spotify Studio It's Hits Recording (feat. Simon Ljungman),GAMMAL,452352,https://open.spotify.com/track/603Kxiz7PagWpTA4AwWQwf
27,GOOBA,6ix9ine,443393,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
28,Source Ft Aden,Yasin,443267,https://open.spotify.com/track/6vXi13WQA7ExaAcdTJ26We
29,Klär av dig,Victor Leksell,433586,https://open.spotify.com/track/2YdXecjfECHt5P7bv8XVA6
30,Det Kommer Bli Bra,Laleh,430846,https://open.spotify.com/track/4gmkulE2YsAwcvKjXjJlH7
31,Alla dessa gånger,Victor Leksell,428348,https://open.spotify.com/track/6zOl4SRKOapc0rQmJQ1Fjm
32,Lose Somebody,Kygo,423049,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
33,Sommaren är kort,Tomas Ledin,418550,https://open.spotify.com/track/2W7tzqjAPXG97RthXx6pNR
34,Tills mitt hjärta går under,Myra Granberg,415784,https://open.spotify.com/track/71q2qYTo4BzqNGpy5S7vV3
35,Sexcigg,Lov1,414996,https://open.spotify.com/track/4GWDWSQiMOVVOFoMSgmids
36,Starkare,Miss Li,404487,https://open.spotify.com/track/3zXw6rU0S9cOfudFiA6FKm
37,Sommartider i Stenhagen,Dani M,398875,https://open.spotify.com/track/35KGM6Hfrgl7hvSoaZ2Njx
38,Salt,Ava Max,394586,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
39,Breaking Me,Topic,393726,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
40,Tappat,Victor Leksell,393656,https://open.spotify.com/track/6pgZeXZxdJM8uG7DB52SPj
41,Rain On Me (with Ariana Grande),Lady Gaga,393056,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
42,Some Say - Felix Jaehn Remix,Nea,385558,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
43,Workin,Yasin,381965,https://open.spotify.com/track/67ttkEO235xJmxhQ9tOM1t
44,FIENDES FIENDE,1.Cuz,361979,https://open.spotify.com/track/0o2SP0X1mCByQtkNdNGNnn
45,Kings & Queens,Ava Max,361146,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
46,Vart du sover,Victor Leksell,360547,https://open.spotify.com/track/0SQIqzlha4iu1cGlvm0gZO
47,PIPPI,Dree Low,355566,https://open.spotify.com/track/3ySRhREV5ceozxdk0lPqIe
48,Party Girl,StaySolidRocky,355348,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
49,Passa dig,Miriam Bryant,351108,https://open.spotify.com/track/7nHHxCaUfsqeDRfhMDUrA8
50,Toosie Slide,Drake,348724,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
51,Sunnanvind,Mares,346055,https://open.spotify.com/track/4GK4mydvnsodLEHWb4zJV4
52,Midsommarnatt,El Papi,342416,https://open.spotify.com/track/46SPeM6PH7euQbb1npKzwY
53,Händerna mot himlen,Petra Marklund,341842,https://open.spotify.com/track/14AJI1RloVWTh8bJe9gBPM
54,BLod,Asme,341434,https://open.spotify.com/track/0OxluJtZjsOELNSF3UuiFT
55,Sykepleierinnen (Sykehuset 2020),El Papi,339276,https://open.spotify.com/track/0OdiOUBYdTUuw4aMGr1oqP
56,Sånger från förut,GAMMAL,337397,https://open.spotify.com/track/7eXmd9KhEpsvATd568suYZ
57,Sommar sommar sol,JLC,336557,https://open.spotify.com/track/7g6duGh0B6V4w0orEDAaDO
58,DIP DIP,Dree Low,328093,https://open.spotify.com/track/1JLzrXRCV1IBnOMdo7cCaM
59,Jag & Du,Ant Wan,323986,https://open.spotify.com/track/3xBeXsxPja17KVm4iL0o06
60,Dansar med mig själv,estraden,318669,https://open.spotify.com/track/11BrVHgleel7NNoPWdGwgl
61,Sverige,Molly Sandén,312820,https://open.spotify.com/track/0U04rQKFeBhMKDOEc8NYjk
62,ily (i love you baby) (feat. Emilee),Surf Mesa,311558,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
63,Break My Heart,Dua Lipa,302300,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
64,Himlen är oskyldigt blå,Ted Gärdestad,295054,https://open.spotify.com/track/4rg0qXQd00nfQTTpu5U6sP
65,death bed (coffee for your head),Powfu,294859,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
66,Like It Is,Kygo,291671,https://open.spotify.com/track/4dyrqiXUcK29hzrL2elqO3
67,Rover (feat. DTG),S1mba,288177,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
68,Shampoo,Benjamin Ingrosso,283037,https://open.spotify.com/track/6pk6yfxGcMyeIVqW79iZo1
69,Bra för dig,estraden,277655,https://open.spotify.com/track/3YCAQEpuFtgVVhEDJsW3gQ
70,Buzz Light Year,Yasin,275047,https://open.spotify.com/track/45jdzaE7CDUvJoPl3pDvwU
71,Fingrarna i halsen,Bolaget,269188,https://open.spotify.com/track/6S4UkO871bZ6kikkqVgSqr
72,Dina färger var blå,Tommy Nilsson,268897,https://open.spotify.com/track/2eIe720mhOM77Gfa6I4Url
73,Don't Start Now,Dua Lipa,267273,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
74,Secrets,Regard,266838,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
75,Ingen sommar utan reggae,Markoolio,259740,https://open.spotify.com/track/5YuLlTsWYK9uslUdGM83dJ
76,Den Sommaren (feat. Miriam Bryant),Jireel,259565,https://open.spotify.com/track/55itpd7i3Mb5N7puQw75p5
77,Dum och kär,GAMMAL,257074,https://open.spotify.com/track/6Wg1tgLH07Qk6uH4rW2g6F
78,Slå mig hårt i ansiktet,Thomas Stenström,255444,https://open.spotify.com/track/2Lv9FudgITbthtKK1B5wxY
79,Mirakel,Kids of revolution,254468,https://open.spotify.com/track/21IFBWRrb0xHProUspYrF2
80,Eloise,Arvingarna,252995,https://open.spotify.com/track/5Ws6u3a6SibPmJazXdEAHB
