,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Move,The Mamas,1736814,https://open.spotify.com/track/19LiotxKSVs7FeVMEdHz63
2,Svag,Victor Leksell,1685396,https://open.spotify.com/track/5SY5BWTxbDqFouuAdelFV9
3,Bulletproof,Dotter,1609799,https://open.spotify.com/track/4RcEx6TvICENelSh3O7gvu
4,Vem e som oss,Anis Don Demina,1476363,https://open.spotify.com/track/20052FYa2SF5Lkp9VZTLJX
5,Frank Lucas,Einár,1444767,https://open.spotify.com/track/23vFYeIeVGp3HrXvN0ECVQ
6,Blinding Lights,The Weeknd,1342035,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
7,Brave,Hanna Ferm,1123707,https://open.spotify.com/track/7oNRF4LJHL5aC2zTU66UN1
8,Talking In My Sleep,Paul Rey,1052547,https://open.spotify.com/track/3RDZ1tmyih1KHQMj6gpgD4
9,Kingdom Come,Anna Bergendahl,986000,https://open.spotify.com/track/0ZoxdGmVIGzxUSi6nkQ98G
10,För Evigt (feat. estraden),Jireel,891304,https://open.spotify.com/track/6bey7El3agTSzIRaAdjPg1
11,Komplicerad,Miss Li,822662,https://open.spotify.com/track/29nwG4y9NFmN76yfUfc01d
12,Vamos Amigos,Mendez,749022,https://open.spotify.com/track/60Qib6jBxNJGCxVk8mJeRI
13,Take A Chance,Robin Bengtsson,725722,https://open.spotify.com/track/3CiXOKYt9tRSLlDnt0Yxew
14,Lev nu dö sen,Miss Li,720917,https://open.spotify.com/track/6HJasLoTKvxglAMQH8nPcD
15,Dance Monkey,Tones And I,688693,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
16,BOYS WITH EMOTIONS,FELIX SANDMAN,682526,https://open.spotify.com/track/22K6G9TGc7uYaAao3h6IHA
17,PIKACHU,Dree Low,663487,https://open.spotify.com/track/2IjVFm1CnORhXtsm1QkV0i
18,Troubled Waters,Victor Crone,642274,https://open.spotify.com/track/1raz4eVynj6vUaJdEDCPcQ
19,DIP DIP,Dree Low,639998,https://open.spotify.com/track/1JLzrXRCV1IBnOMdo7cCaM
20,The Box,Roddy Ricch,630617,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
21,Piga & dräng,Drängarna,617388,https://open.spotify.com/track/0fXANVK5oDCujoed5II6La
22,Tills mitt hjärta går under,Myra Granberg,586047,https://open.spotify.com/track/71q2qYTo4BzqNGpy5S7vV3
23,En säng av rosor,Darin,580587,https://open.spotify.com/track/14eKSIRO006SRXYpfoY8HK
24,Lila,Asme,549614,https://open.spotify.com/track/3JjsTTUgaPdLlLKtKL7OD0
25,PIPPI,Dree Low,516904,https://open.spotify.com/track/3ySRhREV5ceozxdk0lPqIe
26,Winners,Mohombi,507681,https://open.spotify.com/track/0vqrCGQwn2B8p5u1ZIFDbo
27,ICE CREAM,Greekazo,496253,https://open.spotify.com/track/1XrJFPU2gbR0YzKyugold7
28,Don't Start Now,Dua Lipa,491488,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
29,death bed (coffee for your head),Powfu,486042,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
30,E (Ventex),Albatraoz,469111,https://open.spotify.com/track/0nZPJ83AFwWPNSMrS2Jr5J
31,LIGA,Dree Low,464458,https://open.spotify.com/track/6obFuCsiq9EwbbqOekEJbA
32,FLYT,Z.E,462909,https://open.spotify.com/track/2y8AsD76fBMipxfs2cxdXV
33,Intro,Asme,462204,https://open.spotify.com/track/1SbJBcUW86KgmIfbOOCQAt
34,Roses - Imanbek Remix,SAINt JHN,461657,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
35,Forever Yours - Avicii Tribute,Kygo,460431,https://open.spotify.com/track/3o1CUVeHIid49sabk6A6Nf
36,Intentions (feat. Quavo),Justin Bieber,458755,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
37,Shout It Out,Mariette,430894,https://open.spotify.com/track/1GyUkIDUXbZ7xyi57Dn50v
38,No Time To Die,Billie Eilish,429284,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
39,Someone You Loved,Lewis Capaldi,426887,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
40,Falling,Trevor Daniel,379486,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
41,Bra för dig,estraden,378415,https://open.spotify.com/track/3YCAQEpuFtgVVhEDJsW3gQ
42,"Vinterdepress 2 (feat. Dree Low, Thrife & Haval)",Macky,373511,https://open.spotify.com/track/4ozV66XIiX9uf0g8CMyi4Z
43,Ballerina,Malou Prytz,372829,https://open.spotify.com/track/5WlRSquSKNju4JEHkJ9Xh6
44,No Cap,Adel,364259,https://open.spotify.com/track/3G69nPByVZKPtgsesLKbx4
45,Sci-fi,Adel,355534,https://open.spotify.com/track/1JEVK6gqfGPM5CIhGyIVnI
46,XO,Yasin,353634,https://open.spotify.com/track/0JyOOPqNSdhIC7VrxrRNGt
47,everything i wanted,Billie Eilish,353422,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
48,Valhalla,Ringnes-Ronny,347368,https://open.spotify.com/track/1icRHA6kFSipRbZREQPaA0
49,DANCE,CLMD,346288,https://open.spotify.com/track/6TfeXwJihJRuBW3mFpib6J
50,BODEGA,Dree Low,339161,https://open.spotify.com/track/2kvosgTUCQZhA0LBJbZnXH
51,Molnljus,William Stridh,336977,https://open.spotify.com/track/19rZr2FYtbrkDVYuNkmsjw
52,Stupid Love,Lady Gaga,336002,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
53,PUTA,Greekazo,331455,https://open.spotify.com/track/3gwSgcqirySsVnUKY7mSVf
54,After Hours,The Weeknd,327222,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
55,End of Time,K-391,321740,https://open.spotify.com/track/67O8CWXxPsfz8orZVGMQwf
56,Say So,Doja Cat,319348,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
57,FÖRSENT,1.Cuz,317263,https://open.spotify.com/track/6mDcLPGVCmdhMN4gBzNb7s
58,Godzilla (feat. Juice WRLD),Eminem,309645,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
59,Thank You [Not So Bad],VIZE,309443,https://open.spotify.com/track/4AqN8IdKCfItCSbuaFch81
60,Salt,Ava Max,306009,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
61,Before You Go,Lewis Capaldi,305745,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
62,Forever (feat. Post Malone & Clever),Justin Bieber,303655,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
63,HASTA LUEGO,Dree Low,299776,https://open.spotify.com/track/0M726bnQHmfXlrGfeIDvqO
64,Mitten av september,Hov1,298580,https://open.spotify.com/track/7jjLKYImKi4sXsvPKwLoRq
65,To Die For,Sam Smith,295894,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
66,If the World Was Ending - feat. Julia Michaels,JP Saxe,294880,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
67,Goliath,Smith & Thell,292977,https://open.spotify.com/track/0z4kyKuFGmUV7WQ7gB1sAp
68,bad guy,Billie Eilish,290905,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
69,Circles,Post Malone,287231,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
70,TESLA,Macky,277836,https://open.spotify.com/track/4LZi20EAgNBhTR3OBWLzdr
71,THE TEAM,Dree Low,274989,https://open.spotify.com/track/6k4RpBGiOISJxxX3Le0Rh6
72,"Rosa himmel (från ""Störst av allt"")",Molly Sandén,274142,https://open.spotify.com/track/3xkGJKpWrn1n6Bk2m84bJP
73,14,Asme,273339,https://open.spotify.com/track/7flv48R7F94nRVJgtmOr8A
74,Memories,Maroon 5,272947,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
75,SOLSIDAN,Dree Low,269895,https://open.spotify.com/track/0cCKdE4DjPA8evrZruDLpp
76,WHAT WHAT,Dree Low,269709,https://open.spotify.com/track/2a42lMOP1gClRCAuGvnvme
77,Om du tror att jag saknar dig,Jakob Karlberg,268692,https://open.spotify.com/track/7Kroi87Ps4ScVoLJ6Q0Aea
78,GFLOW,Z.E,266554,https://open.spotify.com/track/7gMT1TuYIIAYI0LSsiJsow
79,I MADE IT,Dree Low,266485,https://open.spotify.com/track/6ITiyqbR68qmGr5bBwJ99a
80,"Sunday Best (Feeling Good, Like I Should)",Surfaces,265869,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
81,ROXANNE,Arizona Zervas,264135,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
82,Blueberry Faygo,Lil Mosey,264000,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
83,KAPABEL 3,Dree Low,262398,https://open.spotify.com/track/66t7aHdbaIEoAr6k2Tlgl4
84,Klär av dig,Victor Leksell,258921,https://open.spotify.com/track/7gt0BOQGPSst4wY6BQoH6u
85,Bruises,Lewis Capaldi,249982,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
86,SUPERSTAR,Z.E,247392,https://open.spotify.com/track/5YW1JsnIIa8G8xDXBQxKiM
87,Supalonely,BENEE,245517,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
88,HotSpot,Greekazo,243417,https://open.spotify.com/track/2W9WzW1Ot0YrWpJwWoRRVO
89,BUGS BUNNY,Dree Low,242947,https://open.spotify.com/track/3GgMVwiFaQonxnA7PoR5hM
90,Babblarnas vaggvisa,Babblarna,239950,https://open.spotify.com/track/2AfIH7lNuwcbKBBfZH3ks5
91,DAG HAMMARSKJÖLD,Dree Low,237903,https://open.spotify.com/track/5MwNk30sG4xRpsDdUgUwC2
92,OUTRO,Dree Low,237371,https://open.spotify.com/track/2eNLhBTNQoNFnLUAqz9xdJ
93,Never Seen the Rain,Tones And I,236681,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
94,Första klivet,Lellow,236680,https://open.spotify.com/track/3rUb2v8JnqDwcQ3v3Yr057
95,Surface,Ellen Benediktson,231818,https://open.spotify.com/track/327nB80boda3gK74aAk4BV
96,Tillfälligheter,Veronica Maggio,231222,https://open.spotify.com/track/0rBj6lYQUMHwTJ33sdj6Qz
97,Shallow,Lady Gaga,230846,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
98,The Dirt,Benjamin Ingrosso,230193,https://open.spotify.com/track/4sPZ6euGsdJxOE37TeF4MD
99,Life Is Good (feat. Drake),Future,228916,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
100,Bad Bitch,Peg Parnevik,226382,https://open.spotify.com/track/0APm3o6gODvHt3HU6m4zvR
101,Adore You,Harry Styles,224150,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
102,Lockdown,SINAN,221452,https://open.spotify.com/track/6U0b6CvSfdSWAZJva88NH8
103,Gango,Ant Wan,216223,https://open.spotify.com/track/2aLlB7L3D8KkjJ2FPOBzRJ
104,Det svåraste,estraden,215022,https://open.spotify.com/track/7Do7xOZdSa9a41RbBFORwe
105,Pilot,Karo x Parana,213935,https://open.spotify.com/track/5xU0ZJLFSvUOMeAza8ejxW
106,BETONG,Dree Low,213088,https://open.spotify.com/track/4FJ1jh6LCeHn0GsVYQmqCu
107,Baby Pluto,Lil Uzi Vert,209227,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
108,I Don't Care (with Justin Bieber),Ed Sheeran,208919,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
109,when the party's over,Billie Eilish,208867,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
110,Some Say,Nea,208845,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
111,Nobody,Klara Hammarström,208174,https://open.spotify.com/track/2HsZAuRRKvfsmXswcKt0sF
112,You should be sad,Halsey,208065,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
113,PO PO PULL UP,Albin Myers,207189,https://open.spotify.com/track/6MBHUC8RKxwNa4iztDXeJp
114,Goat,Ant Wan,205484,https://open.spotify.com/track/6ujudUrnhMAHu08Nie6klI
115,SICARIO,Dree Low,205420,https://open.spotify.com/track/4HhgmNcGxOqLWGE9HS2iXZ
116,Sånger från förut,GAMMAL,203841,https://open.spotify.com/track/7eXmd9KhEpsvATd568suYZ
117,Higher Love,Kygo,203417,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
118,Det bästa kanske inte hänt än,Molly Sandén,202256,https://open.spotify.com/track/7Jtmca0gCNHj9OIvv6N1y3
119,PT:1,Yasin,198021,https://open.spotify.com/track/0peCogN4G8UuuhSB9jPUnN
120,lovely (with Khalid),Billie Eilish,195471,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
121,Drown (feat. Clinton Kane),Martin Garrix,195381,https://open.spotify.com/track/4RVtBlHFKj51Ipvpfv5ER4
122,What If I Told You That I Love You,Ali Gatie,194612,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
123,RÄKNA MINA DAGAR,1.Cuz,194400,https://open.spotify.com/track/39YxFKLZ1xbu1f9gQiwkFz
124,That Way - Bonus Track,Lil Uzi Vert,193609,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
125,Jag Vil Ha Dig,Ringnes-Ronny,192204,https://open.spotify.com/track/0IiWe6NRNBB7QbrCcgUCZX
126,Señorita,Shawn Mendes,190349,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
127,RELATE,Dree Low,189781,https://open.spotify.com/track/2Z2CqQXHgU00DxvnNLGeSr
128,Alla mina sorger,Linda Bengtzing,189687,https://open.spotify.com/track/6g0ZPkF2ErP2hzccTRyuGC
129,Vem e du,Asme,188241,https://open.spotify.com/track/0ul3uDADDPVmR9mo67O9mP
130,"Mi Amor (Blåmärkshårt) [feat. Cherrie, Molly Sandén, STOR]",Miriam Bryant,187615,https://open.spotify.com/track/1vmQXaFNMnSEBLTobPwME5
131,We Are One,Frida Öhrn,187107,https://open.spotify.com/track/1UQo1BX4t1st8w4zAWZjIk
132,Över dig,Newkid,186779,https://open.spotify.com/track/0BaPvhm5WVzIAsAEI0sbQQ
133,P2,Lil Uzi Vert,185603,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
134,Yummy,Justin Bieber,184441,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
135,Sluta aldrig gå,Sonja Aldén,183538,https://open.spotify.com/track/4hvNDg3ajMY32BgFSfQ1MC
136,Rolle & PP,KD,182179,https://open.spotify.com/track/5GTf7nUrJb2QCiSWUu5VUD
137,SOS (feat. Aloe Blacc),Avicii,181649,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
138,Moral of the Story,Ashe,180404,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
139,Va Mig,Ant Wan,179527,https://open.spotify.com/track/5HsBJenkDnrzim7o7uKwQq
