,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Svag,Victor Leksell,1412944,https://open.spotify.com/track/5SY5BWTxbDqFouuAdelFV9
2,Blinding Lights,The Weeknd,1379964,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,ROCKSTAR (feat. Roddy Ricch),DaBaby,1098632,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
4,GOOBA,6ix9ine,1096027,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
5,Komplicerad,Miss Li,1028176,https://open.spotify.com/track/29nwG4y9NFmN76yfUfc01d
6,Roses - Imanbek Remix,SAINt JHN,822174,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
7,Kanske var vi rätt bra ändå,Newkid,783112,https://open.spotify.com/track/1wgHPGGJVV9orCIT99cFMu
8,Stuck with U (with Justin Bieber),Ariana Grande,745788,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
9,Sexcigg,Lov1,730081,https://open.spotify.com/track/4GWDWSQiMOVVOFoMSgmids
10,En säng av rosor,Darin,720255,https://open.spotify.com/track/14eKSIRO006SRXYpfoY8HK
11,In Your Eyes,The Weeknd,681252,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
12,Toosie Slide,Drake,661225,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
13,DIP DIP,Dree Low,644562,https://open.spotify.com/track/1JLzrXRCV1IBnOMdo7cCaM
14,WORKIN,Yasin,601557,https://open.spotify.com/track/3qaaqQxVCUwwoX4sLQnGpk
15,THE SCOTTS,THE SCOTTS,594702,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
16,Lev nu dö sen,Miss Li,571530,https://open.spotify.com/track/6HJasLoTKvxglAMQH8nPcD
17,Dance Monkey,Tones And I,530486,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
18,death bed (coffee for your head),Powfu,491565,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
19,Sykepleierinnen (Sykehuset 2020),El Papi,485243,https://open.spotify.com/track/0OdiOUBYdTUuw4aMGr1oqP
20,Gav Allt,Jireel,464533,https://open.spotify.com/track/5zRMqUyt8G4Lkfd448pUH1
21,Apelsinskal (feat. Newkid),Tjuvjakt,457793,https://open.spotify.com/track/4RBuYTb1Ebw9XPJ4JIUDJd
22,PIPPI,Dree Low,453866,https://open.spotify.com/track/3ySRhREV5ceozxdk0lPqIe
23,Like It Is,Kygo,441784,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN
24,Blueberry Faygo,Lil Mosey,439614,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
25,September,Norlie & KKV,437707,https://open.spotify.com/track/3kg2F5WibBKbiA71IGmn9h
26,Rover (feat. DTG),S1mba,437485,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
27,Nån av oss,Miriam Bryant,421009,https://open.spotify.com/track/3KTPAavMfc8FqtMLAaMXkH
28,Break My Heart,Dua Lipa,409226,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
29,Det Kommer Bli Bra,Laleh,407153,https://open.spotify.com/track/4gmkulE2YsAwcvKjXjJlH7
