,Position,Track Name,Artist,Streams,Week,Month,Year
0,1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,13376854,1,January,2019
1,2,Wow.,Post Malone,13236038,1,January,2019
2,3,Going Bad (feat. Drake),Meek Mill,9244190,1,January,2019
3,4,SICKO MODE,Travis Scott,9236076,1,January,2019
4,5,"thank u, next",Ariana Grande,9173689,1,January,2019
5,6,Drip Too Hard (Lil Baby & Gunna),Lil Baby,8373427,1,January,2019
6,7,ZEZE (feat. Travis Scott & Offset),Kodak Black,8100798,1,January,2019
7,8,Without Me,Halsey,7925081,1,January,2019
8,9,Mo Bamba,Sheck Wes,7577622,1,January,2019
9,10,Leave Me Alone,Flipp Dinero,6211187,1,January,2019
10,11,Lucid Dreams,Juice WRLD,5581465,1,January,2019
11,12,a lot,21 Savage,5561290,1,January,2019
12,13,Wake Up in the Sky,Gucci Mane,5478377,1,January,2019
13,14,Look Back at It,A Boogie Wit da Hoodie,5434149,1,January,2019
14,15,SAD!,XXXTENTACION,4982709,1,January,2019
15,16,monster,21 Savage,4931234,1,January,2019
16,17,imagine,Ariana Grande,4864118,1,January,2019
17,18,Happier,Marshmello,4858890,1,January,2019
18,19,Better Now,Post Malone,4779674,1,January,2019
19,20,Money,Cardi B,4765903,1,January,2019
20,21,whoa (mind in awe),XXXTENTACION,4713227,1,January,2019
21,22,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,4702309,1,January,2019
22,23,High Hopes,Panic! At The Disco,4426321,1,January,2019
23,24,Better,Khalid,4408730,1,January,2019
24,25,Moonlight,XXXTENTACION,4264952,1,January,2019
25,26,Saturday Nights,Khalid,4216493,1,January,2019
26,27,Nonstop,Drake,4190624,1,January,2019
27,28,Eastside (with Halsey & Khalid),benny blanco,4187034,1,January,2019
28,29,MIA (feat. Drake),Bad Bunny,4186577,1,January,2019
29,30,Armed And Dangerous,Juice WRLD,4118274,1,January,2019
30,31,when the party's over,Billie Eilish,4036893,1,January,2019
31,32,BAD!,XXXTENTACION,3949295,1,January,2019
32,33,I Like It,Cardi B,3821251,1,January,2019
33,34,Taste (feat. Offset),Tyga,3763211,1,January,2019
34,35,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,3654435,1,January,2019
35,36,rockstar (feat. 21 Savage),Post Malone,3626742,1,January,2019
36,37,all my friends,21 Savage,3532035,1,January,2019
37,38,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,3476741,1,January,2019
38,39,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,3474094,1,January,2019
39,40,God's Plan,Drake,3451680,1,January,2019
40,41,KIKA,6ix9ine,3433755,1,January,2019
