,Position,Track Name,Artist,Streams,Week,Month,Year
0,1,Good Days,SZA,6323585,1,January,2021
1,2,Anyone,Justin Bieber,6149984,1,January,2021
2,3,34+35,Ariana Grande,5606876,1,January,2021
3,4,Mood (feat. iann dior),24kGoldn,5583614,1,January,2021
4,5,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,5368252,1,January,2021
5,6,DÁKITI,Bad Bunny,5161927,1,January,2021
6,7,positions,Ariana Grande,5102841,1,January,2021
7,8,Whoopty,CJ,4877062,1,January,2021
8,9,WITHOUT YOU,The Kid LAROI,4777818,1,January,2021
9,10,Blinding Lights,The Weeknd,4440447,1,January,2021
10,11,Levitating (feat. DaBaby),Dua Lipa,4422483,1,January,2021
11,12,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,4156151,1,January,2021
12,13,WAP (feat. Megan Thee Stallion),Cardi B,4075050,1,January,2021
13,14,willow,Taylor Swift,4063837,1,January,2021
14,15,What You Know Bout Love,Pop Smoke,3951385,1,January,2021
15,16,Therefore I Am,Billie Eilish,3894603,1,January,2021
16,17,Body,Megan Thee Stallion,3880068,1,January,2021
17,18,Laugh Now Cry Later (feat. Lil Durk),Drake,3868635,1,January,2021
18,19,HOLIDAY,Lil Nas X,3804112,1,January,2021
19,20,ROCKSTAR (feat. Roddy Ricch),DaBaby,3541901,1,January,2021
20,21,Wishing Well,Juice WRLD,3404248,1,January,2021
21,22,Sweater Weather,The Neighbourhood,3400346,1,January,2021
22,23,Blueberry Faygo,Lil Mosey,3150550,1,January,2021
23,24,Way Out (feat. Big Sean),Jack Harlow,3120455,1,January,2021
24,25,Come & Go (with Marshmello),Juice WRLD,3084736,1,January,2021
25,26,Tyler Herro,Jack Harlow,3012027,1,January,2021
26,27,All Girls Are The Same,Juice WRLD,2961057,1,January,2021
27,28,Reminds Me Of You,Juice WRLD,2957522,1,January,2021
28,29,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,2947806,1,January,2021
29,30,champagne problems,Taylor Swift,2875906,1,January,2021
30,31,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",Jack Harlow,2861265,1,January,2021
31,32,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,2858702,1,January,2021
32,33,Watermelon Sugar,Harry Styles,2840470,1,January,2021
33,34,The Box,Roddy Ricch,2810078,1,January,2021
34,35,Circles,Post Malone,2804775,1,January,2021
35,36,you broke me first,Tate McRae,2783099,1,January,2021
36,37,my ex's best friend (with blackbear),Machine Gun Kelly,2773001,1,January,2021
37,38,Lucid Dreams,Juice WRLD,2769384,1,January,2021
