,Position,Track Name,Artist,Streams,Week,Month,Year
0,1,bad guy,Billie Eilish,18516701,1,April,2019
1,2,Old Town Road,Lil Nas X,12953835,1,April,2019
2,3,wish you were gay,Billie Eilish,11595540,1,April,2019
3,4,bury a friend,Billie Eilish,9743807,1,April,2019
4,5,when the party's over,Billie Eilish,9024389,1,April,2019
5,6,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,9013744,1,April,2019
6,7,xanny,Billie Eilish,8959348,1,April,2019
7,8,all the good girls go to hell,Billie Eilish,8701017,1,April,2019
8,9,MIDDLE CHILD,J. Cole,8668475,1,April,2019
9,10,my strange addiction,Billie Eilish,8197752,1,April,2019
10,11,you should see me in a crown,Billie Eilish,8131854,1,April,2019
11,12,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,7398540,1,April,2019
12,13,Murder On My Mind,YNW Melly,7357739,1,April,2019
13,14,Wow.,Post Malone,7352330,1,April,2019
14,15,7 rings,Ariana Grande,7226775,1,April,2019
15,16,Going Bad (feat. Drake),Meek Mill,7042212,1,April,2019
16,17,i love you,Billie Eilish,6810833,1,April,2019
17,18,ilomilo,Billie Eilish,6777872,1,April,2019
18,19,Sucker,Jonas Brothers,6581575,1,April,2019
19,20,listen before i go,Billie Eilish,6375640,1,April,2019
20,21,"break up with your girlfriend, i'm bored",Ariana Grande,5978831,1,April,2019
21,22,Robbery,Juice WRLD,5975912,1,April,2019
22,23,8,Billie Eilish,5857341,1,April,2019
23,24,Mixed Personalities (feat. Kanye West),YNW Melly,5833416,1,April,2019
24,25,Pure Water (with Migos),Mustard,5823815,1,April,2019
25,26,a lot,21 Savage,5111802,1,April,2019
26,27,Drip Too Hard (Lil Baby & Gunna),Lil Baby,4902110,1,April,2019
27,28,Talk,Khalid,4573073,1,April,2019
28,29,goodbye,Billie Eilish,4567473,1,April,2019
29,30,Faucet Failure,Ski Mask The Slump God,4458224,1,April,2019
30,31,Thotiana,Blueface,4420110,1,April,2019
31,32,SICKO MODE,Travis Scott,4346452,1,April,2019
32,33,"thank u, next",Ariana Grande,4283732,1,April,2019
33,34,Without Me,Halsey,4279322,1,April,2019
34,35,Look Back at It,A Boogie Wit da Hoodie,4242388,1,April,2019
35,36,Happier,Marshmello,4183150,1,April,2019
36,37,Envy Me,Calboy,4125970,1,April,2019
37,38,My Bad,Khalid,4114191,1,April,2019
38,39,Here With Me,Marshmello,3976421,1,April,2019
39,40,Better,Khalid,3972727,1,April,2019
40,41,lovely,Billie Eilish,3870295,1,April,2019
41,42,Lucid Dreams,Juice WRLD,3839642,1,April,2019
42,43,Dancing With A Stranger (with Normani),Sam Smith,3836296,1,April,2019
43,44,Please Me,Cardi B,3775977,1,April,2019
44,45,I,Lil Skies,3773875,1,April,2019
45,46,Eastside (with Halsey & Khalid),benny blanco,3661833,1,April,2019
46,47,ZEZE (feat. Travis Scott & Offset),Kodak Black,3659331,1,April,2019
47,48,Shallow,Lady Gaga,3651500,1,April,2019
48,49,Mo Bamba,Sheck Wes,3507126,1,April,2019
49,50,Better Now,Post Malone,3486909,1,April,2019
50,51,Let Me Down Slowly,Alec Benjamin,3485767,1,April,2019
51,52,MONOPOLY (with Victoria Monét),Ariana Grande,3431888,1,April,2019
52,53,Splashin,Rich The Kid,3373435,1,April,2019
53,54,SAD!,XXXTENTACION,3300010,1,April,2019
54,55,Saturday Nights,Khalid,3259322,1,April,2019
55,56,i'm so tired...,Lauv,3181936,1,April,2019
56,57,Wake Up in the Sky,Gucci Mane,3158955,1,April,2019
57,58,Racks in the Middle (feat. Roddy Ricch and Hit-Boy),Nipsey Hussle,3146928,1,April,2019
58,59,Fast,Juice WRLD,2976955,1,April,2019
59,60,Moonlight,XXXTENTACION,2971187,1,April,2019
60,61,Leave Me Alone,Flipp Dinero,2964864,1,April,2019
61,62,idontwannabeyouanymore,Billie Eilish,2946560,1,April,2019
62,63,Armed And Dangerous,Juice WRLD,2939571,1,April,2019
63,64,Money,Cardi B,2903293,1,April,2019
64,65,Hear Me Calling,Juice WRLD,2858936,1,April,2019
65,66,Beautiful Crazy,Luke Combs,2849439,1,April,2019
66,67,High Hopes,Panic! At The Disco,2828073,1,April,2019
67,68,The Bones,Maren Morris,2814934,1,April,2019
68,69,Con Calma,Daddy Yankee,2808603,1,April,2019
69,70,Pure Cocaine,Lil Baby,2808578,1,April,2019
70,71,Don't Call Me Up,Mabel,2783053,1,April,2019
71,72,Space Cadet (feat. Gunna),Metro Boomin,2771788,1,April,2019
72,73,rockstar (feat. 21 Savage),Post Malone,2752846,1,April,2019
73,74,Make Believe,Juice WRLD,2731558,1,April,2019
74,75,Self,Khalid,2709308,1,April,2019
