,Position,Track Name,Artist,Streams,Week,Month,Year
0,1,XO,Yasin,1161953,1,January,2020
1,2,Dance Monkey,Tones And I,1117862,1,January,2020
2,3,Lev nu dö sen,Miss Li,1081328,1,January,2020
3,4,Blinding Lights,The Weeknd,955867,1,January,2020
4,5,PT:1,Yasin,939491,1,January,2020
5,6,PIPPI,Dree Low,722586,1,January,2020
6,7,FÖRSENT,1.Cuz,660801,1,January,2020
7,8,Not For Sale,Yasin,612151,1,January,2020
8,9,Someone You Loved,Lewis Capaldi,608705,1,January,2020
9,10,DSGIS,Yasin,599387,1,January,2020
10,11,ROXANNE,Arizona Zervas,595563,1,January,2020
11,12,TESLA,Macky,595210,1,January,2020
12,13,Memories,Maroon 5,582311,1,January,2020
13,14,everything i wanted,Billie Eilish,560255,1,January,2020
14,15,Falling,Trevor Daniel,543863,1,January,2020
15,16,Circles,Post Malone,538030,1,January,2020
16,17,Tills mitt hjärta går under,Myra Granberg,521091,1,January,2020
17,18,No Cap,Adel,520520,1,January,2020
18,19,bad guy,Billie Eilish,517588,1,January,2020
19,20,Va Mig,Ant Wan,471835,1,January,2020
20,21,"Alone, Pt. II",Alan Walker,466078,1,January,2020
21,22,John Snow,Yasin,457668,1,January,2020
22,23,Don't Start Now,Dua Lipa,457053,1,January,2020
23,24,HotSpot,Greekazo,449785,1,January,2020
24,25,GFLOW,Z.E,446652,1,January,2020
25,26,"Rosa himmel (från ""Störst av allt"")",Molly Sandén,419174,1,January,2020
26,27,"Mi Amor (Blåmärkshårt) [feat. Cherrie, Molly Sandén, STOR]",Miriam Bryant,407946,1,January,2020
27,28,SOS (feat. Aloe Blacc),Avicii,401299,1,January,2020
28,29,Tillfälligheter,Veronica Maggio,399691,1,January,2020
29,30,Señorita,Shawn Mendes,395477,1,January,2020
30,31,Some Say,Nea,386313,1,January,2020
31,32,Apoteket,Greekazo,385816,1,January,2020
32,33,WLIT,Yasin,381915,1,January,2020
33,34,Shallow,Lady Gaga,375785,1,January,2020
34,35,Bra för dig,estraden,374417,1,January,2020
35,36,I Don't Care (with Justin Bieber),Ed Sheeran,371682,1,January,2020
36,37,Before You Go,Lewis Capaldi,362125,1,January,2020
37,38,Alla våra smeknamn,Molly Sandén,351355,1,January,2020
38,39,TOP CLASS,Dree Low,346255,1,January,2020
39,40,RÄKNA MINA DAGAR,1.Cuz,339242,1,January,2020
40,41,Happy New Year,ABBA,331117,1,January,2020
41,42,Adore You,Harry Styles,324001,1,January,2020
42,43,My Oh My (feat. DaBaby),Camila Cabello,323456,1,January,2020
